club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
150,real-betis-sevilla,Real Betis Sevilla,ES1,,27,28.5,12,44.4,10,Benito Villamarín,59378,€-16.75m,Manuel Pellegrini,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
1050,fc-villarreal,Fc Villarreal,ES1,,25,28.0,11,44.0,10,La Cerámica,23500,+€14.12m,Quique Setién,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,,27,24.8,5,18.5,5,Reale Arena,39313,+€27.50m,Imanol Alguacil,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681
13,atletico-madrid,Atletico Madrid,ES1,,22,27.9,16,72.7,17,Civitas Metropolitano,68456,€-19.55m,Diego Simeone,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
12321,fc-girona,Fc Girona,ES1,,26,26.0,9,34.6,1,Municipal de Montilivi,13286,€-4.50m,Míchel,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
940,celta-vigo,Celta Vigo,ES1,,22,26.0,9,40.9,4,Abanca Balaídos,29000,€-4.00m,Carlos Carvalhal,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
2715,rfc-seraing,Rfc Seraing,BE1,,29,23.4,20,69.0,5,Stade du Paray,6744,+-0,Jean-Sébastien Legros,https://www.transfermarkt.co.uk/rfc-seraing/startseite/verein/2715
3508,sv-zulte-waregem,Sv Zulte Waregem,BE1,,30,24.3,19,63.3,3,Elindus Arena,12250,+€50k,Mbaye Leye,https://www.transfermarkt.co.uk/sv-zulte-waregem/startseite/verein/3508
1245,kas-eupen,Kas Eupen,BE1,,32,22.9,22,68.8,7,Kehrweg-Stadion,8331,+€1.84m,Kristoffer Andersen,https://www.transfermarkt.co.uk/kas-eupen/startseite/verein/1245
475,vv-st-truiden,Vv St Truiden,BE1,,24,26.6,13,54.2,3,Stayen,14600,+€3.00m,Bernd Hollerbach,https://www.transfermarkt.co.uk/vv-st-truiden/startseite/verein/475
2861,kv-oostende,Kv Oostende,BE1,,29,23.4,16,55.2,3,Diaz Arena,8432,+€9.10m,Dominik Thalhammer,https://www.transfermarkt.co.uk/kv-oostende/startseite/verein/2861
131,fc-barcelona,Fc Barcelona,ES1,,25,25.4,10,40.0,19,Spotify Camp Nou,99354,€-118.00m,Xavi,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
601,kv-kortrijk,Kv Kortrijk,BE1,,30,25.2,21,70.0,6,Guldensporenstadion,9399,€-550k,Adnan Custovic,https://www.transfermarkt.co.uk/kv-kortrijk/startseite/verein/601
418,real-madrid,Real Madrid,ES1,,23,27.4,16,69.6,16,Santiago Bernabéu,81044,+€12.15m,Carlo Ancelotti,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
968,kvc-westerlo,Kvc Westerlo,BE1,,28,25.7,17,60.7,6,Het Kuipje,8035,€-2.59m,Jonas De Roeck,https://www.transfermarkt.co.uk/kvc-westerlo/startseite/verein/968
39,1-fsv-mainz-05,1 Fsv Mainz 05,L1,,27,24.4,12,44.4,7,Mewa Arena,33305,+€8.45m,Bo Svensson,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39
368,fc-sevilla,Fc Sevilla,ES1,,26,28.2,18,69.2,12,Ramón Sánchez-Pizjuán,43883,+€63.50m,Jorge Sampaoli,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
331,ca-osasuna,Ca Osasuna,ES1,,24,27.6,5,20.8,2,El Sadar,23576,€-2.00m,Jagoba Arrasate,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
3057,standard-luttich,Standard Luttich,BE1,,29,23.6,16,55.2,7,Maurice Dufrasne Stadion,27670,+€110k,Ronny Deila,https://www.transfermarkt.co.uk/standard-luttich/startseite/verein/3057
1519,dundee-united-fc,Dundee United Fc,SC1,,25,25.7,11,44.0,6,Tannadice Park,14223,€-355k,Liam Fox,https://www.transfermarkt.co.uk/dundee-united-fc/startseite/verein/1519
2727,oud-heverlee-leuven,Oud Heverlee Leuven,BE1,,26,24.9,14,53.8,4,King Power at Den Dreef Stadion,10020,€-650k,Marc Brys,https://www.transfermarkt.co.uk/oud-heverlee-leuven/startseite/verein/2727
58,rsc-anderlecht,Rsc Anderlecht,BE1,,29,23.3,13,44.8,6,Lotto Park,21500,+€14.60m,Robin Veldman,https://www.transfermarkt.co.uk/rsc-anderlecht/startseite/verein/58
1184,krc-genk,Krc Genk,BE1,,28,22.7,18,64.3,12,Cegeka Arena,24956,+€28.97m,Wouter Vrancken,https://www.transfermarkt.co.uk/krc-genk/startseite/verein/1184
3948,royale-union-saint-gilloise,Royale Union Saint Gilloise,BE1,,24,24.8,17,70.8,5,Stade Joseph Mariën,8000,+€3.22m,Karel Geraerts,https://www.transfermarkt.co.uk/royale-union-saint-gilloise/startseite/verein/3948
3524,clermont-foot-63,Clermont Foot 63,FR1,,26,26.0,16,61.5,9,Stade Gabriel-Montpied,13000,+€19.10m,Pascal Gastien,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
621,athletic-bilbao,Athletic Bilbao,ES1,,25,27.3,1,4.0,4,San Mamés,53289,+-0,Ernesto Valverde,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621
2282,fc-brugge,Fc Brugge,BE1,,31,24.2,20,64.5,16,Jan-Breydel-Stadion,29062,+€6.00m,Carl Hoefkens,https://www.transfermarkt.co.uk/fc-brugge/startseite/verein/2282
354,kv-mechelen,Kv Mechelen,BE1,,27,25.1,10,37.0,2,AFAS Stadion,16672,+€4.25m,Steven Defour,https://www.transfermarkt.co.uk/kv-mechelen/startseite/verein/354
3911,stade-brest-29,Stade Brest 29,FR1,,24,25.1,10,41.7,5,Stade Francis-Le Blé,15097,€-5.35m,Bruno Grougi,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
