Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-11-17;Lens;3–2;Paris S-G;Relatório da Partida;2002;3;2
2002-11-22;Paris S-G;0–1;Nantes;Relatório da Partida;2002;0;1
2002-11-23;Marseille;1–0;Lens;Relatório da Partida;2002;1;0
2002-11-23;Nice;0–0;Rennes;Relatório da Partida;2002;0;0
2002-11-23;Troyes;2–0;Sedan;Relatório da Partida;2002;2;0
2002-11-23;Bordeaux;1–0;Ajaccio;Relatório da Partida;2002;1;0
2002-11-23;Guingamp;2–0;Sochaux;Relatório da Partida;2002;2;0
2002-11-23;Montpellier;2–2;Bastia;Relatório da Partida;2002;2;2
2002-11-23;Le Havre;0–1;Auxerre;Relatório da Partida;2002;0;1
2002-11-23;Lille;2–1;Lyon;Relatório da Partida;2002;2;1
2002-11-24;Strasbourg;1–0;Monaco;Relatório da Partida;2002;1;0
2002-11-30;Sedan;3–0;Nice;Relatório da Partida;2002;3;0
2002-11-30;Ajaccio;1–2;Le Havre;Relatório da Partida;2002;1;2
2002-11-30;Nantes;3–1;Montpellier;Relatório da Partida;2002;3;1
2002-11-30;Rennes;5–1;Lille;Relatório da Partida;2002;5;1
2002-11-30;Bastia;2–0;Marseille;Relatório da Partida;2002;2;0
2002-11-30;Monaco;3–1;Paris S-G;Relatório da Partida;2002;3;1
2002-11-30;Sochaux;1–0;Troyes;Relatório da Partida;2002;1;0
2002-12-01;Lens;1–3;Guingamp;Relatório da Partida;2002;1;3
2002-12-01;Auxerre;1–0;Bordeaux;Relatório da Partida;2002;1;0
2002-12-01;Lyon;2–1;Strasbourg;Relatório da Partida;2002;2;1
2002-12-03;Nice;3–0;Ajaccio;Relatório da Partida;2002;3;0
2002-12-04;Le Havre;1–0;Bordeaux;Relatório da Partida;2002;1;0
2002-12-04;Troyes;0–0;Lens;Relatório da Partida;2002;0;0
2002-12-04;Lille;2–2;Auxerre;Relatório da Partida;2002;2;2
2002-12-04;Strasbourg;1–3;Rennes;Relatório da Partida;2002;1;3
2002-12-04;Guingamp;2–0;Nantes;Relatório da Partida;2002;2;0
2002-12-04;Paris S-G;2–0;Lyon;Relatório da Partida;2002;2;0
2002-12-04;Marseille;1–0;Sochaux;Relatório da Partida;2002;1;0
2002-12-04;Montpellier;1–2;Monaco;Relatório da Partida;2002;1;2
2002-12-04;Bastia;0–1;Sedan;Relatório da Partida;2002;0;1
2002-12-14;Sedan;1–2;Marseille;Relatório da Partida;2002;1;2
2002-12-14;Sochaux;2–0;Bastia;Relatório da Partida;2002;2;0
2002-12-15;Bordeaux;4–0;Nice;Relatório da Partida;2002;4;0
2002-12-15;Monaco;4–0;Guingamp;Relatório da Partida;2002;4;0
2002-12-15;Lyon;1–1;Montpellier;Relatório da Partida;2002;1;1
2002-12-15;Auxerre;0–0;Strasbourg;Relatório da Partida;2002;0;0
2002-12-15;Rennes;1–0;Paris S-G;Relatório da Partida;2002;1;0
2002-12-15;Nantes;2–1;Troyes;Relatório da Partida;2002;2;1
2002-12-15;Lens;1–0;Le Havre;Relatório da Partida;2002;1;0
2002-12-15;Ajaccio;2–2;Lille;Relatório da Partida;2002;2;2
2002-12-19;Paris S-G;1–1;Bordeaux;Relatório da Partida;2002;1;1
2002-12-20;Troyes;0–1;Rennes;Relatório da Partida;2002;0;1
2002-12-20;Guingamp;3–1;Ajaccio;Relatório da Partida;2002;3;1
2002-12-20;Sochaux;3–0;Lens;Relatório da Partida;2002;3;0
2002-12-20;Lille;1–0;Le Havre;Relatório da Partida;2002;1;0
2002-12-20;Sedan;1–1;Lyon;Relatório da Partida;2002;1;1
