Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2013-02-02;Lorient;2–2;Rennes;Relatório da Partida;2012;2;2
2013-02-02;Bordeaux;2–0;Valenciennes;Relatório da Partida;2012;2;0
2013-02-02;Bastia;0–0;Evian;Relatório da Partida;2012;0;0
2013-02-03;Marseille;0–1;Nancy;Relatório da Partida;2012;0;1
2013-02-03;Montpellier;3–1;Reims;Relatório da Partida;2012;3;1
2013-02-03;Ajaccio;3–1;Lyon;Relatório da Partida;2012;3;1
2013-02-08;Paris S-G;3–1;Bastia;Relatório da Partida;2012;3;1
2013-02-09;Troyes;0–0;Sochaux;Relatório da Partida;2012;0;0
2013-02-09;Ajaccio;1–0;Bordeaux;Relatório da Partida;2012;1;0
2013-02-09;Saint-Étienne;4–1;Montpellier;Relatório da Partida;2012;4;1
2013-02-09;Nancy;1–2;Reims;Relatório da Partida;2012;1;2
2013-02-09;Nice;1–1;Lorient;Relatório da Partida;2012;1;1
2013-02-09;Valenciennes;2–1;Brest;Relatório da Partida;2012;2;1
2013-02-10;Rennes;2–0;Toulouse;Relatório da Partida;2012;2;0
2013-02-10;Lyon;1–3;Lille;Relatório da Partida;2012;1;3
2013-02-10;Evian;1–1;Marseille;Relatório da Partida;2012;1;1
2013-02-15;Lille;2–0;Rennes;Relatório da Partida;2012;2;0
2013-02-16;Montpellier;1–0;Nancy;Relatório da Partida;2012;1;0
2013-02-16;Lorient;2–1;Evian;Relatório da Partida;2012;2;1
2013-02-16;Marseille;1–0;Valenciennes;Relatório da Partida;2012;1;0
2013-02-16;Brest;1–1;Ajaccio;Relatório da Partida;2012;1;1
2013-02-16;Bastia;0–1;Nice;Relatório da Partida;2012;0;1
2013-02-16;Toulouse;2–2;Troyes;Relatório da Partida;2012;2;2
2013-02-17;Sochaux;3–2;Paris S-G;Relatório da Partida;2012;3;2
2013-02-17;Reims;1–1;Saint-Étienne;Relatório da Partida;2012;1;1
2013-02-17;Bordeaux;0–4;Lyon;Relatório da Partida;2012;0;4
2013-02-22;Nice;2–0;Reims;Relatório da Partida;2012;2;0
2013-02-23;Nancy;0–3;Saint-Étienne;Relatório da Partida;2012;0;3
2013-02-23;Valenciennes;0–0;Toulouse;Relatório da Partida;2012;0;0
2013-02-23;Troyes;0–0;Bastia;Relatório da Partida;2012;0;0
2013-02-23;Ajaccio;1–3;Lille;Relatório da Partida;2012;1;3
2013-02-23;Rennes;2–2;Sochaux;Relatório da Partida;2012;2;2
2013-02-23;Evian;0–1;Montpellier;Relatório da Partida;2012;0;1
2013-02-24;Bordeaux;0–2;Brest;Relatório da Partida;2012;0;2
2013-02-24;Paris S-G;2–0;Marseille;Relatório da Partida;2012;2;0
2013-02-24;Lyon;3–1;Lorient;Relatório da Partida;2012;3;1
2013-03-01;Montpellier;2–0;Rennes;Relatório da Partida;2012;2;0
2013-03-02;Toulouse;0–0;Evian;Relatório da Partida;2012;0;0
