Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
9,qua,2020-09-09,17:30,Atl Paranaense,2.5,1–1,2.0,Botafogo (RJ),,Estádio Joaquim Américo Guimarães,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
9,qua,2020-09-09,18:00,Fortaleza,1.3,1–0,0.4,Sport Recife,,Estádio Castelão,Felipe Fernandes de Lima,Relatório da Partida,
9,qua,2020-09-09,18:00,Goiás,2.0,3–3,2.3,Coritiba,,Estádio de Hailé Pinheiro,Caio Max Augusto Vieira,Relatório da Partida,
9,qua,2020-09-09,19:15,São Paulo,1.4,1–1,1.9,Bragantino,,Estádio do Morumbi,Savio Pereira,Relatório da Partida,
9,qui,2020-09-10,19:15,Bahia,1.2,0–2,2.0,Grêmio,,Estádio Governador Roberto Santos,Jose Mendonca da Silva Junior,Relatório da Partida,
9,qui,2020-09-10,19:15,Internacional,1.9,2–0,0.2,Ceará,,Estádio José Pinheiro Borba,Rodrigo D'Alonso Ferreira,Relatório da Partida,
9,qui,2020-09-10,19:15,Corinthians,0.5,0–2,2.6,Palmeiras,,Arena Corinthians,Leandro Pedro Vuaden,Relatório da Partida,
9,qua,2020-09-09,21:30,Santos,1.6,3–1,2.1,Atlético Mineiro,,Estádio Urbano Caldeira,Wagner do Nascimento Magalhaes,Relatório da Partida,
9,qua,2020-09-09,21:30,Fluminense,0.6,1–2,1.8,Flamengo,,Estadio Jornalista Mário Filho,Raphael Claus,Relatório da Partida,
9,qui,2020-09-10,21:00,Vasco da Gama,1.4,1–2,1.8,Atl Goianiense,,Estádio Club de Regatas Vasco da Gama,Heber Roberto Lopes,Relatório da Partida,
,,,,,,,,,,,,,
10,sáb,2020-09-12,16:30,Atl Paranaense,0.9,1–0,0.1,Coritiba,,Estádio Joaquim Américo Guimarães,Jean Pierre Goncalves Lima,Relatório da Partida,
