Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
618;Raphael Rodrigues;brBRA;DF;Avaí;23;1999;1.4;0;0;0;0;1;0;0;0;0;0;0;0;4;3;4
619;Rodriguinho;brBRA;MF;América (MG);18;2003;2.1;2;0;0;5;5;0;10;5;3;0;0;0;19;3;4
620;Romarinho;brBRA;FW,MF;Fortaleza;27;1994;14.6;4;1;0;18;32;3;40;4;11;0;0;0;74;5;19
621;Braian Romero;arARG;FW;Internacional;30;1991;3.8;1;0;0;9;8;1;2;1;6;0;0;0;12;6;14
622;Silvio Romero;arARG;FW;Fortaleza;33;1988;12.9;1;0;0;8;10;13;5;2;2;0;0;0;30;8;17
623;Rômulo;brBRA;FW;Atl Paranaense;19;2002;13.3;1;0;0;14;14;1;5;4;13;0;0;0;50;26;53
624;Romulo;brBRA;DF;Juventude;21;2000;1.9;1;0;0;1;2;0;6;2;1;0;0;0;16;3;2
625;Rômulo;brBRA;FW,MF;Avaí;26;1995;4.7;0;0;0;6;10;0;7;5;4;0;0;0;18;6;6
626;Ronald;brBRA;MF,FW;Fortaleza;24;1997;11.7;5;0;0;21;9;0;10;8;17;0;0;0;79;5;15
627;Ronaldo;brBRA;GK;Atl Goianiense;25;1996;18.0;1;0;0;0;2;0;0;0;0;0;0;0;10;2;0
628;Budiga Roni;brBRA;MF;Corinthians;22;1999;8.3;5;1;0;15;6;0;5;7;14;0;1;1;52;7;7
629;Rony;brBRA;FW;Palmeiras;26;1995;26.5;3;0;0;37;37;27;32;7;8;1;0;0;57;40;69
630;Vitor Roque;brBRA;FW;Atl Paranaense;16;2005;14.6;6;0;0;29;43;5;3;9;9;5;0;0;37;21;60
631;Ruan;brBRA;FW,MF;Juventude;16;2005;2.5;1;0;0;3;6;0;5;0;5;0;0;0;12;3;2
632;Rubens;brBRA;DF,MF;Atlético Mineiro;20;2001;13.7;3;0;0;26;18;0;46;21;31;0;0;0;79;17;21
633;Óscar Ruiz;pyPAR;MF,FW;Juventude;30;1991;11.0;1;0;0;4;15;5;29;5;7;1;0;0;32;15;28
634;Rwan;brBRA;FW,MF;Santos;20;2001;5.2;1;0;0;11;14;2;6;4;5;0;0;0;23;13;20
635;João Victor Santos Sá;brBRA;FW;Botafogo (RJ);27;1994;19.4;2;0;0;18;30;3;35;16;24;0;0;0;83;12;32
636;Matheus Sales;brBRA;MF,DF;Goiás;26;1995;19.9;5;0;0;25;12;0;13;16;24;0;1;0;76;16;23
637;Philipe Sampaio;brBRA;DF;Botafogo (RJ);27;1994;12.5;4;2;1;19;8;2;1;27;8;0;1;0;63;36;17
638;Carlos Sánchez;uyURU;MF;Santos;37;1984;8.7;3;0;0;11;14;2;63;5;8;0;0;0;44;4;6
639;Sandry;brBRA;MF;Santos;19;2002;7.7;2;0;0;14;6;0;20;11;14;0;1;0;51;2;3
640;Alex Santana;brBRA;MF;Atl Paranaense;26;1995;9.9;4;0;0;17;10;1;0;12;8;0;0;0;73;5;7
641;Santos;brBRA;GK;Flamengo;31;1990;19.0;1;0;0;0;2;0;0;0;0;0;0;0;10;3;0
642;Ademir Santos;brBRA;FW,MF;Atlético Mineiro;26;1995;16.6;4;0;0;21;59;12;45;8;18;1;0;0;71;6;30
643;Chayene Santos;brBRA;MF,FW;Botafogo (RJ);31;1990;6.5;3;0;0;10;18;0;17;5;9;0;0;0;33;3;14
644;Fábio Santos;brBRA;DF;Corinthians;36;1985;17.4;4;0;0;12;14;0;33;19;15;0;0;0;92;27;21
645;Guilherme Santos;brBRA;FW,MF;Bragantino;20;2001;0.5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
646;Gustavo Santos;brBRA;FW;Avaí;19;2002;0.2;0;0;0;1;1;0;1;0;0;;;0;;;
647;Juan Santos;brBRA;FW;São Paulo;19;2002;0.6;0;0;0;2;1;3;0;0;0;0;0;0;1;0;2
648;Júnior Santos;brBRA;FW,MF;Botafogo (RJ);27;1994;11.9;1;0;0;20;12;4;15;2;13;0;1;0;49;19;16
649;Luis Eduardo Marques dos Santos;brBRA;DF;Atl Goianiense;24;1997;18.2;1;0;0;11;15;2;72;26;19;0;0;0;101;17;14
650;Matheus Santos;brBRA;MF;Goiás;23;1998;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
651;Rafael Santos;brBRA;DF;Coritiba;23;1998;12.7;2;0;0;8;7;0;72;7;9;0;0;0;60;13;10
652;Mateus Sarará;brBRA;MF;Avaí;19;2002;4.8;3;0;0;7;10;0;1;4;3;0;0;0;24;9;5
653;Renzo Saravia;arARG;DF,MF;Botafogo (RJ);28;1993;20.2;10;0;0;36;42;0;46;32;31;0;0;0;137;26;36
654;Eduardo Sasha;brBRA;FW,MF;Atlético Mineiro;29;1992;14.3;1;0;0;11;20;4;9;6;6;0;0;0;45;27;24
655;Lucas Sasha;brBRA;MF;Fortaleza;31;1990;14.1;2;0;0;21;16;1;8;20;46;0;0;0;98;19;20
656;Gustavo Sauer;brBRA;FW,MF;Botafogo (RJ);28;1993;3.2;1;0;0;5;4;0;7;1;3;0;0;0;13;4;3
657;Jefferson Savarino;veVEN;FW;Atlético Mineiro;25;1996;1.0;0;0;0;0;2;0;3;0;1;0;0;0;5;0;0
658;Sávio;brBRA;FW,MF;Atlético Mineiro;17;2004;2.4;0;0;0;3;7;0;7;3;1;0;0;0;11;1;2
659;Savio;brBRA;DF;Goiás;26;1995;9.4;6;1;1;7;9;0;54;6;12;0;0;0;55;8;10
660;Gustavo Scarpa;brBRA;MF,FW;Palmeiras;28;1994;28.6;3;0;0;14;72;13;342;13;10;0;0;0;133;20;27
661;Cleiton Schwengber;brBRA;GK;Bragantino;24;1997;37.0;3;0;0;2;11;0;0;0;1;0;2;1;36;6;1
662;Shaylon;brBRA;FW,MF;Atl Goianiense;24;1997;15.0;3;0;0;14;4;2;74;5;9;0;0;0;78;2;18
663;Sidcley;brBRA;DF,MF;Cuiabá;28;1993;3.7;0;0;0;0;2;0;6;9;1;0;0;0;13;3;3
664;Sidimar;brBRA;DF;Goiás;29;1992;5.0;0;0;0;2;4;0;0;8;4;0;0;0;11;20;6
665;Sidnei;brBRA;DF;Goiás;32;1989;3.3;1;0;0;1;2;0;0;7;3;0;0;0;16;5;5
666;Pablo Siles;uyURU;MF;Atl Paranaense;24;1997;1.8;2;0;0;7;2;0;2;3;1;0;1;0;14;2;2
667;Aderlan Silva;brBRA;DF;Bragantino;31;1990;29.7;10;0;0;77;16;5;159;45;62;0;0;0;172;51;36
668;Bruno Silva;brBRA;MF;Avaí;35;1986;28.9;14;1;1;74;37;1;14;30;52;0;0;0;184;48;41
669;Da Silva;brBRA;DF;Goiás;20;2001;6.3;3;0;0;4;1;0;0;7;3;0;0;0;16;20;7
670;Cristiano da Silva Leite;brBRA;DF;Fluminense;28;1993;8.3;1;0;0;10;12;0;48;10;8;0;0;0;50;9;10
671;Felipe Silva Lipe;brBRA;DF;Avaí;19;2002;3.0;0;0;0;0;0;0;0;9;5;0;0;0;8;2;3
672;Lucas Silva;brBRA;FW,MF;Avaí;24;1998;1.2;0;0;0;1;5;0;3;2;0;0;0;0;7;0;0
673;Marcão Silva;brBRA;MF,DF;Cuiabá;31;1991;14.1;1;0;0;25;6;0;1;11;16;0;0;0;76;34;19
674;Márcio Silva;brBRA;DF;Coritiba;20;2001;2.0;0;0;0;0;3;0;0;1;1;0;0;0;3;3;2
675;Nathan Silva;brBRA;DF;Atlético Mineiro;24;1997;19.2;8;0;0;36;7;0;2;29;14;0;1;0;111;56;39
676;Ricardo Silva;brBRA;DF;América (MG);29;1992;8.3;1;0;0;15;7;0;0;7;6;0;1;0;43;31;22
677;Miguel Silveira;brBRA;MF,FW;Bragantino;18;2003;6.3;1;0;0;8;14;0;32;1;6;1;0;0;28;3;5
678;Vinicius Silvestre;brBRA;GK;Palmeiras;27;1994;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
679;Jailson Siqueira;brBRA;MF;Palmeiras;26;1995;0.2;0;0;0;0;0;0;3;0;0;0;0;0;0;2;3
680;Everton Soares;brBRA;FW,MF;Flamengo;25;1996;15.7;0;1;0;16;19;0;47;6;13;0;0;0;67;11;19
681;Tiquinho Soares;brBRA;FW;Botafogo (RJ);31;1991;13.7;1;0;0;21;41;12;6;2;4;0;0;0;45;39;51
682;Fernando Sobral;brBRA;MF;Ceará;27;1994;11.2;2;0;0;14;15;0;9;4;22;0;0;0;62;15;11
683;Yeferson Soteldo;veVEN;FW,MF;Santos;24;1997;6.3;1;0;0;4;13;1;38;1;0;0;0;0;20;3;3
684;Yan Souto;brBRA;DF;Goiás;20;2001;6.8;3;0;0;13;2;0;1;11;4;0;3;0;39;16;10
685;Hugo Souza;brBRA;GK;Flamengo;23;1999;14.3;3;0;0;0;1;0;0;1;1;0;0;0;19;5;1
