;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
722;723;Wanderson;br BRA;ATLT;Internacional;28;1994;16.8;3;0;0;18;17;3;56;3;7;0.0;0.0;0;56.0;4.0;16.0;20.0;0;1;1;0;Ataque
723;724;Warley;br BRA;ATZG;Coritiba;23;1999;6.0;1;2;0;9;10;0;15;8;4;0.0;0.0;0;40.0;4.0;5.0;44.4;0;1;0;1;Ataque
724;725;Welington;br BRA;ZGAT;São Paulo;21;2001;17.7;5;1;1;18;29;1;123;15;22;0.0;0.0;0;86.0;16.0;17.0;48.5;0;1;0;1;Ataque
725;726;José Welison;br BRA;LT;Fortaleza;27;1995;17.1;4;0;0;35;15;0;22;37;20;0.0;0.0;0;131.0;33.0;24.0;57.9;0;0;1;0;Defesa
726;727;Weliton;cl CHI;LT;Juventude;17;2005;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;1.0;0.0;0;0;1;0;Defesa
727;728;Wellington;br BRA;ZG;Avaí;27;1995;1.0;0;0;0;1;0;0;0;0;0;0.0;1.0;0;4.0;1.0;1.0;50.0;0;0;0;1;Defesa
728;729;Welliton;br BRA;ATLT;Bragantino;22;2000;0.9;0;0;0;0;0;0;8;0;3;0.0;0.0;0;6.0;1.0;2.0;33.3;0;1;1;0;Ataque
729;730;Werik;br BRA;AT;Bragantino;21;2001;5.2;3;0;0;9;5;1;2;0;2;0.0;0.0;0;12.0;10.0;11.0;47.6;0;1;0;0;Ataque
730;731;Werton;br BRA;AT;Flamengo;19;2003;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;1.0;0.0;2.0;0.0;0;1;0;0;Ataque
731;732;Wescley;br BRA;LT;Ceará;31;1991;0.8;0;0;0;1;1;0;3;0;2;0.0;0.0;0;4.0;0.0;1.0;0.0;0;0;1;0;Defesa
732;733;Wesley;br BRA;AT;Palmeiras;23;1999;7.2;2;0;0;8;20;2;30;3;6;0.0;0.0;0;50.0;14.0;9.0;60.9;0;1;0;0;Ataque
733;734;Weverson;br BRA;LT;Bragantino;22;2000;0.5;0;0;0;0;0;0;3;0;0;0.0;0.0;0;4.0;1.0;5.0;16.7;0;0;1;0;Defesa
734;735;Weverton;br BRA;ZG;Internacional;23;1999;0.5;0;0;0;0;1;0;3;0;0;0.0;0.0;0;4.0;0.0;1.0;0.0;0;0;0;1;Defesa
735;736;Wéverton;br BRA;G;Palmeiras;34;1987;33.0;0;0;0;0;5;0;0;1;1;0.0;0.0;0;29.0;9.0;2.0;81.8;1;0;0;0;Defesa
736;737;Rafael William;br BRA;G;Coritiba;21;2001;6.0;1;0;0;1;0;0;0;0;0;0.0;1.0;0;3.0;1.0;0.0;100.0;1;0;0;0;Defesa
737;738;Willian;br BRA;ATLT;Fluminense;35;1986;5.3;2;0;0;8;3;2;8;8;5;0.0;0.0;0;26.0;3.0;8.0;27.3;0;1;1;0;Ataque
738;739;Willian;br BRA;AT;Corinthians;34;1988;9.2;1;0;0;6;30;2;33;8;10;0.0;0.0;0;42.0;5.0;3.0;62.5;0;1;0;0;Ataque
739;740;Xavier;br BRA;LT;Corinthians;22;2000;1.8;1;0;0;2;0;0;0;2;1;0.0;0.0;0;13.0;2.0;2.0;50.0;0;0;1;0;Defesa
740;741;Samuel Xavier;br BRA;ZG;Fluminense;32;1990;29.4;4;0;0;25;47;2;71;24;15;0.0;0.0;0;112.0;24.0;26.0;48.0;0;0;0;1;Defesa
741;742;Yago;br BRA;LTZG;Fluminense;27;1995;11.4;2;0;0;11;30;2;30;11;12;0.0;0.0;0;50.0;8.0;17.0;32.0;0;0;1;1;Defesa
742;743;Ytalo;br BRA;AT;Bragantino;34;1988;6.9;0;0;0;2;6;0;2;3;3;0.0;0.0;0;10.0;7.0;14.0;33.3;0;1;0;0;Ataque
743;744;Vinícius Zanocelo;br BRA;LT;Santos;21;2001;22.3;8;0;0;47;12;2;2;24;17;0.0;2.0;0;112.0;31.0;32.0;49.2;0;0;1;0;Defesa
744;745;Federico Zaracho;ar ARG;LTAT;Atlético Mineiro;24;1998;19.1;2;0;0;30;25;1;16;21;27;0.0;0.0;0;107.0;23.0;45.0;33.8;0;1;1;0;Ataque
