;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
476;477;Ygor Nogueira;br BRA;ZG;Juventude;27;1995;5.0;1;0;0;3;3;0;0;9;5;0.0;1.0;0;23.0;10.0;6.0;62.5;0;0;0;1;Defesa
477;478;Nonato;br BRA;LT;Fluminense;24;1998;12.1;3;1;0;16;33;1;38;12;14;0.0;0.0;0;65.0;13.0;17.0;43.3;0;0;1;0;Defesa
478;479;Nonoca;br BRA;LT;Avaí;24;1998;9.5;4;0;0;20;22;0;1;8;13;0.0;1.0;0;78.0;11.0;8.0;57.9;0;0;1;0;Defesa
479;480;Gabriel Novaes;br BRA;ATLT;Bragantino;23;1999;3.1;2;0;0;7;7;2;1;1;1;1.0;0.0;0;6.0;4.0;5.0;44.4;0;1;1;0;Ataque
480;481;Thales Oleques;br BRA;ZG;Avaí;28;1994;4.2;1;0;0;1;0;0;16;4;4;0.0;0.0;0;21.0;3.0;6.0;33.3;0;0;0;1;Defesa
481;482;Bruno Oliveira;br BRA;LTAT;Santos;24;1998;5.0;2;0;0;6;18;0;33;2;4;0.0;0.0;0;35.0;0.0;5.0;0.0;0;1;1;0;Ataque
482;483;Yuri Oliveira Lima;br BRA;LT;Juventude;28;1994;14.8;6;1;0;36;8;0;6;16;14;0.0;0.0;0;68.0;12.0;16.0;42.9;0;0;1;0;Defesa
483;484;Pedro Oliveira;br BRA;LTAT;Goiás;18;2004;3.3;1;0;0;4;6;1;10;2;7;0.0;0.0;0;20.0;1.0;9.0;10.0;0;1;1;0;Ataque
484;485;Leo Ortiz;br BRA;ZG;Bragantino;26;1996;21.4;4;0;0;14;8;1;13;27;11;0.0;0.0;0;132.0;45.0;20.0;69.2;0;0;0;1;Defesa
485;486;Kelvin Osorio;co COL;LTZG;Cuiabá;29;1993;10.1;2;0;0;18;5;2;69;8;14;0.0;1.0;0;45.0;22.0;14.0;61.1;0;0;1;1;Defesa
486;487;Otávio;br BRA;LT;Atlético Mineiro;28;1994;11.9;2;0;0;25;6;0;5;12;15;0.0;0.0;0;87.0;7.0;8.0;46.7;0;0;1;0;Defesa
487;488;Luiz Otávio;br BRA;ZG;Ceará;34;1988;20.2;7;1;0;20;9;1;1;47;21;0.0;3.0;0;73.0;67.0;38.0;63.8;0;0;0;1;Defesa
488;489;Rómulo Otero;ve VEN;LTAT;Fortaleza;30;1992;2.6;0;0;0;5;11;1;30;0;1;0.0;0.0;0;10.0;2.0;7.0;22.2;0;1;1;0;Ataque
489;490;Luis Oyama;br BRA;LT;Botafogo (RJ);25;1997;12.0;1;0;0;21;21;0;1;17;17;0.0;0.0;0;86.0;9.0;7.0;56.3;0;0;1;0;Defesa
490;491;Pablo;br BRA;AT;Atl Paranaense;30;1992;16.0;6;0;0;38;18;14;5;10;10;0.0;0.0;0;50.0;51.0;53.0;49.0;0;1;0;0;Ataque
491;492;Pablo;br BRA;ZG;Flamengo;31;1991;20.6;5;0;0;30;5;1;1;33;17;0.0;0.0;0;125.0;54.0;22.0;71.1;0;0;0;1;Defesa
492;493;Juan Pablo;br BRA;ZGLT;Goiás;20;2002;1.9;0;0;0;6;0;0;2;2;2;0.0;0.0;0;10.0;3.0;2.0;60.0;0;0;1;1;Defesa
493;494;Juan Pablo Ramírez;co COL;LTAT;América (MG);24;1997;4.1;3;0;0;11;11;1;5;3;3;0.0;0.0;0;28.0;3.0;6.0;33.3;0;1;1;0;Ataque
494;495;Bruno Pacheco;br BRA;ZG;Ceará;30;1991;25.1;5;1;0;39;48;3;64;28;30;;;0;;;;;0;0;0;1;Defesa
495;496;Igor Paixão;br BRA;ATLT;Coritiba;22;2000;17.2;3;0;0;10;43;0;83;15;9;0.0;0.0;0;66.0;19.0;24.0;44.2;0;1;1;0;Ataque
496;497;Pará;br BRA;LT;Juventude;20;2002;0.3;0;0;0;1;0;0;0;0;1;0.0;0.0;0;2.0;0.0;1.0;0.0;0;0;1;0;Defesa
497;498;Nino Paraíba;br BRA;ZG;Ceará;36;1986;24.4;11;0;0;34;45;1;170;37;22;1.0;0.0;0;122.0;34.0;35.0;49.3;0;0;0;1;Defesa
498;499;Guilherme Parede;br BRA;ATLT;Juventude;27;1995;6.1;2;0;0;7;5;1;25;3;2;;;0;;;;;0;1;1;0;Ataque
499;500;Weslley Patati;br BRA;AT;Santos;19;2003;0.2;0;0;0;0;1;0;0;0;0;;;0;;;;;0;1;0;0;Ataque
500;501;Patrick;br BRA;LTAT;São Paulo;30;1992;21.8;6;0;0;30;38;3;63;13;36;0.0;0.0;0;110.0;30.0;45.0;40.0;0;1;1;0;Ataque
501;502;Alan Patrick;br BRA;LTAT;Internacional;31;1991;17.5;3;0;0;21;41;1;56;6;3;0.0;0.0;0;104.0;7.0;14.0;33.3;0;1;1;0;Ataque
502;503;Luan Patrick;br BRA;ZG;América (MG);20;2002;9.0;3;0;0;7;3;0;12;12;6;0.0;0.0;0;46.0;7.0;7.0;50.0;0;0;0;1;Defesa
503;504;Patryck;br BRA;ZG;São Paulo;19;2003;0.3;0;0;0;0;0;0;0;0;1;0.0;0.0;0;3.0;0.0;0.0;;0;0;0;1;Defesa
504;505;Giuliano de Paula;br BRA;LT;Corinthians;32;1990;17.9;2;0;0;15;15;2;18;10;12;0.0;0.0;0;97.0;8.0;16.0;33.3;0;0;1;0;Defesa
505;506;Patrick de Paula;br BRA;LT;Botafogo (RJ);23;1999;10.6;4;0;0;12;24;0;14;16;6;0.0;1.0;0;66.0;11.0;11.0;50.0;0;0;1;0;Defesa
506;507;Paulão;br BRA;ZG;Cuiabá;36;1986;8.0;2;1;1;7;1;0;3;8;1;0.0;1.0;1;20.0;28.0;7.0;80.0;0;0;0;1;Defesa
507;508;Paulinho;br BRA;ATLT;América (MG);24;1998;3.2;0;0;0;6;11;4;12;0;1;1.0;0.0;0;9.0;0.0;5.0;0.0;0;1;1;0;Ataque
508;509;Paulinho;br BRA;LT;Corinthians;34;1988;1.8;0;0;0;2;1;0;0;0;0;0.0;0.0;0;11.0;5.0;9.0;35.7;0;0;1;0;Defesa
509;510;Caio Paulista;br BRA;ZG;Fluminense;24;1998;17.9;3;1;0;10;24;2;42;11;19;0.0;0.0;0;100.0;10.0;16.0;38.5;0;0;0;1;Defesa
510;511;Wellington Paulista;br BRA;AT;América (MG);38;1984;5.3;2;0;0;11;7;4;3;0;0;0.0;0.0;0;14.0;10.0;12.0;45.5;0;1;0;0;Ataque
511;512;João Paulo;br BRA;ZG;América (MG);36;1986;3.9;0;0;0;2;0;0;21;7;5;0.0;0.0;0;21.0;6.0;6.0;50.0;0;0;0;1;Defesa
512;513;João Paulo;br BRA;G;Santos;27;1995;35.0;5;0;0;0;7;0;0;1;2;0.0;0.0;0;39.0;8.0;2.0;80.0;1;0;0;0;Defesa
513;514;Marcos Paulo;br BRA;ZG;Flamengo;19;2003;0.3;1;0;0;2;0;0;0;2;2;0.0;0.0;0;3.0;0.0;0.0;;0;0;0;1;Defesa
514;515;Cristian Pavón;ar ARG;ATLT;Atlético Mineiro;26;1996;7.5;2;0;0;11;9;1;31;3;7;0.0;0.0;0;51.0;5.0;11.0;31.3;0;1;1;0;Ataque
515;516;Pedrinho;br BRA;ATLT;América (MG);22;1999;10.8;3;0;0;19;10;4;26;8;6;0.0;0.0;0;60.0;3.0;7.0;30.0;0;1;1;0;Ataque
516;517;Pedrinho;br BRA;ZGAT;Atl Paranaense;20;2002;15.2;4;0;0;19;8;1;49;27;11;0.0;0.0;0;82.0;12.0;12.0;50.0;0;1;0;1;Ataque
517;518;Pedrinho;br BRA;LTAT;Atlético Mineiro;24;1998;2.5;0;0;0;1;6;0;7;3;3;0.0;0.0;0;19.0;3.0;3.0;50.0;0;1;1;0;Ataque
518;519;Pedrinho;br BRA;AT;Flamengo;19;2003;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;1.0;0.0;0;1;0;0;Ataque
519;520;Pedro;br BRA;AT;Flamengo;25;1997;13.0;3;0;0;18;15;4;3;3;3;1.0;0.0;0;25.0;29.0;16.0;64.4;0;1;0;0;Ataque
520;521;João Pedro;br BRA;ZGAT;Corinthians;25;1996;1.3;1;0;0;1;0;0;0;1;0;0.0;0.0;0;4.0;2.0;0.0;100.0;0;1;0;1;Ataque
521;522;João Pedro Pepê;br BRA;LT;Cuiabá;24;1998;25.8;4;0;0;40;44;0;73;17;34;0.0;0.0;0;153.0;26.0;29.0;47.3;0;0;1;0;Defesa
522;523;Peglow;br BRA;ATLT;Atl Goianiense;20;2002;2.6;1;0;0;2;5;1;14;4;4;0.0;0.0;0;14.0;3.0;3.0;50.0;0;1;1;0;Ataque
