Data;Em casa;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-12-15;Lyon;Montpellier;Relatório da Partida;2002;1;1
2002-12-15;Bordeaux;Nice;Relatório da Partida;2002;4;0
2002-12-15;Rennes;Paris S-G;Relatório da Partida;2002;1;0
2002-12-19;Paris S-G;Bordeaux;Relatório da Partida;2002;1;1
2002-12-20;Strasbourg;Nice;Relatório da Partida;2002;0;0
2002-12-20;Bastia;Nantes;Relatório da Partida;2002;3;1
2002-12-20;Marseille;Monaco;Relatório da Partida;2002;1;1
2002-12-20;Troyes;Rennes;Relatório da Partida;2002;0;1
2002-12-20;Lille;Le Havre;Relatório da Partida;2002;1;0
2002-12-20;Sochaux;Lens;Relatório da Partida;2002;3;0
2002-12-20;Guingamp;Ajaccio;Relatório da Partida;2002;3;1
2002-12-20;Sedan;Lyon;Relatório da Partida;2002;1;1
2003-01-10;Lyon;Marseille;Relatório da Partida;2002;1;0
2003-01-11;Rennes;Guingamp;Relatório da Partida;2002;2;1
2003-01-11;Auxerre;Troyes;Relatório da Partida;2002;1;0
2003-01-11;Monaco;Bastia;Relatório da Partida;2002;0;0
2003-01-11;Nice;Lille;Relatório da Partida;2002;2;0
2003-01-11;Ajaccio;Paris S-G;Relatório da Partida;2002;0;0
2003-01-11;Bordeaux;Montpellier;Relatório da Partida;2002;3;1
2003-01-14;Marseille;Rennes;Relatório da Partida;2002;2;0
2003-01-15;Guingamp;Auxerre;Relatório da Partida;2002;0;2
2003-01-15;Paris S-G;Le Havre;Relatório da Partida;2002;1;0
2003-01-15;Sedan;Ajaccio;Relatório da Partida;2002;1;1
2003-01-15;Montpellier;Nice;Relatório da Partida;2002;2;2
2003-01-15;Bastia;Lyon;Relatório da Partida;2002;2;0
2003-01-15;Sochaux;Monaco;Relatório da Partida;2002;0;0
2003-01-18;Montpellier;Auxerre;Relatório da Partida;2002;0;0
2003-01-18;Le Havre;Strasbourg;Relatório da Partida;2002;1;1
2003-01-18;Lens;Sedan;Relatório da Partida;2002;4;0
2003-01-21;Auxerre;Marseille;Relatório da Partida;2002;0;0
2003-01-22;Ajaccio;Troyes;Relatório da Partida;2002;1;0
2003-01-22;Rennes;Bastia;Relatório da Partida;2002;0;1
2003-01-22;Lille;Strasbourg;Relatório da Partida;2002;0;1
2003-01-22;Nantes;Sedan;Relatório da Partida;2002;4;1
2003-01-22;Lyon;Sochaux;Relatório da Partida;2002;4;1
2003-01-22;Nice;Paris S-G;Relatório da Partida;2002;0;0
2003-01-22;Le Havre;Montpellier;Relatório da Partida;2002;1;0
