Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
487;Matheus Nunes;ptPOR;MF;pt Sporting CP;22;1998;5.6;3;0;0;4;9;0;1;7;9;0;0;0;38;2;7
488;Darwin Núñez;uyURU;FW;pt Benfica;22;1999;6.8;1;0;0;6;7;10;14;0;0;0;0;0;29;17;22
489;Jan Oblak;siSVN;GK;es Atlético Madrid;28;1993;10.0;0;0;0;0;1;0;0;0;0;0;0;0;8;5;1
490;Lucas Ocampos;arARG;FW;es Sevilla;27;1994;5.1;2;0;0;4;18;1;15;3;3;0;0;0;27;4;6
491;Noah Okafor;chSUI;FW;at RB Salzburg;21;2000;3.8;1;0;0;5;2;3;3;1;2;0;0;0;20;2;3
492;Sérgio Oliveira;ptPOR;MF;pt Porto;29;1992;3.3;1;0;0;5;1;0;16;4;6;0;0;0;21;1;2
493;Dani Olmo;esESP;MF;de RB Leipzig;23;1998;1.0;0;0;0;3;4;0;0;1;0;0;0;0;4;0;2
494;Martin Olsson;seSWE;DF;se Malmö;33;1988;3.2;0;0;0;3;3;1;9;3;1;0;0;0;16;4;1
495;Amadou Onana;beBEL;MF,DF;fr Lille;19;2001;2.9;0;0;0;1;3;0;0;0;6;0;0;0;16;9;6
496;André Onana;cmCMR;GK;nl Ajax;25;1996;2.0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
497;Jérôme Onguéné;cmCMR;DF;at RB Salzburg;23;1997;4.8;1;0;0;5;5;0;0;14;4;0;0;0;28;13;9
498;Willi Orban;huHUN;DF;de RB Leipzig;28;1992;3.5;1;0;0;3;3;1;0;6;6;0;0;0;20;3;3
499;Divock Origi;beBEL;FW;eng Liverpool;26;1995;2.1;0;0;0;4;6;0;3;0;4;0;0;0;13;4;1
500;Nicolás Otamendi;arARG;DF;pt Benfica;33;1988;9.0;2;0;0;17;11;0;0;19;10;0;0;0;41;21;14
