Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
623;Simone Zaza;itITA;FW,DF;Torino;30;1991;1.4;1;0;0;5;2;2;1;0;2;0;0;0;6;10;8
624;Marvin Zeegelaar;nlNED;DF;Udinese;30;1990;7.1;2;0;0;13;4;2;2;12;11;0;1;0;43;13;7
625;Piotr Zieliński;plPOL;MF;Napoli;27;1994;23.2;1;0;0;19;28;1;35;8;12;0;0;0;76;3;14
626;David Zima;czCZE;DF;Torino;20;2000;14.6;3;0;0;16;5;1;3;23;12;0;1;0;57;45;40
627;Jeroen Zoet;nlNED;GK;Spezia;30;1991;7.0;0;0;0;1;3;0;0;0;0;0;1;0;5;2;1
628;Nadir Zortea;itITA;DF,MF;Salernitana;22;1999;15.7;3;0;0;14;6;0;85;7;15;0;0;0;72;8;17
629;Petar Zovko;baBIH;GK;Spezia;19;2002;0.3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
630;Szymon Żurkowski;plPOL;MF;Empoli;23;1997;25.6;5;0;0;41;67;0;23;35;33;0;1;0;162;24;32
631;Milan Đurić;baBIH;FW;Salernitana;31;1990;24.1;6;0;0;24;45;6;2;2;1;1;0;0;40;242;83
632;Filip Đuričić;rsSRB;MF,FW;Sassuolo;29;1992;7.5;1;0;0;10;14;2;0;4;10;0;0;0;34;3;5
