Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
13,dom,2009-11-22,,Siena,0–2,Atalanta,,,Antonio Giannoccaro,Relatório da Partida,
13,dom,2009-11-22,,Sampdoria,2–1,Chievo,,,Carmine Russo,Relatório da Partida,
13,dom,2009-11-22,,Livorno,2–1,Genoa,,,Nicola Rizzoli,Relatório da Partida,
,,,,,,,,,,,
14,sáb,2009-11-28,,Genoa,3–0,Sampdoria,,,Roberto Rosetti,Relatório da Partida,
14,sáb,2009-11-28,,Udinese,2–0,Livorno,,,Maurizio Ciampi,Relatório da Partida,
14,dom,2009-11-29,,Lazio,0–0,Bologna,,,Mauro Bergonzi,Relatório da Partida,
14,dom,2009-11-29,,Bari,2–1,Siena,,,Renzo Candussio,Relatório da Partida,
14,dom,2009-11-29,,Catania,0–2,Milan,,,Christian Brighi,Relatório da Partida,
14,dom,2009-11-29,,Chievo,1–0,Palermo,,,Paolo Mazzoleni,Relatório da Partida,
14,dom,2009-11-29,,Cagliari,2–0,Juventus,,,Andrea De Marco,Relatório da Partida,
14,dom,2009-11-29,,Atalanta,1–2,Roma,,,Paolo Tagliavento,Relatório da Partida,
14,dom,2009-11-29,,Parma,1–1,Napoli,,,Matteo Trefoloni,Relatório da Partida,
14,dom,2009-11-29,,Inter,1–0,Fiorentina,,,Antonio Damato,Relatório da Partida,
,,,,,,,,,,,
15,sáb,2009-12-05,,Juventus,2–1,Inter,,,Max Saccani,Relatório da Partida,
15,sáb,2009-12-05,,Milan,3–0,Sampdoria,,,Gianluca Rocchi,Relatório da Partida,
15,dom,2009-12-06,,Roma,1–0,Lazio,,,Nicola Rizzoli,Relatório da Partida,
15,dom,2009-12-06,,Genoa,2–2,Parma,,,Christian Brighi,Relatório da Partida,
15,dom,2009-12-06,,Livorno,0–2,Chievo,,,Gabriele Gava,Relatório da Partida,
15,dom,2009-12-06,,Fiorentina,2–0,Atalanta,,,Domenico Celi,Relatório da Partida,
15,dom,2009-12-06,,Siena,3–2,Catania,,,Paolo Tagliavento,Relatório da Partida,
15,dom,2009-12-06,,Palermo,2–1,Cagliari,,,Daniele Orsato,Relatório da Partida,
15,dom,2009-12-06,,Napoli,3–2,Bari,,,Andrea Romeo,Relatório da Partida,
15,dom,2009-12-06,,Bologna,2–1,Udinese,,,Antonio Giannoccaro,Relatório da Partida,
,,,,,,,,,,,
16,sáb,2009-12-12,,Cagliari,3–3,Napoli,,,Nicola Pierpaoli,Relatório da Partida,
16,sáb,2009-12-12,,Bari,3–1,Juventus,,,Paolo Tagliavento,Relatório da Partida,
16,dom,2009-12-13,,Chievo,2–1,Fiorentina,,,Paolo Valeri,Relatório da Partida,
16,dom,2009-12-13,,Parma,2–1,Bologna,,,Sebastiano Peruzzo,Relatório da Partida,
16,dom,2009-12-13,,Atalanta,1–1,Inter,,,Nicola Rizzoli,Relatório da Partida,
16,dom,2009-12-13,,Lazio,1–0,Genoa,,,Domenico Celi,Relatório da Partida,
16,dom,2009-12-13,,Sampdoria,0–0,Roma,,,Antonio Damato,Relatório da Partida,
16,dom,2009-12-13,,Catania,0–1,Livorno,,,Daniele Orsato,Relatório da Partida,
16,dom,2009-12-13,,Siena,2–1,Udinese,,,Dino Tommasi,Relatório da Partida,
16,dom,2009-12-13,,Milan,0–2,Palermo,,,Mauro Bergonzi,Relatório da Partida,
,,,,,,,,,,,
17,dom,2009-12-20,,Livorno,3–1,Sampdoria,,,Domenico Celi,Relatório da Partida,
17,dom,2009-12-20,,Palermo,1–0,Siena,,,Andrea Gervasoni,Relatório da Partida,
17,dom,2009-12-20,,Napoli,2–0,Chievo,,,Mauro Bergonzi,Relatório da Partida,
17,dom,2009-12-20,,Roma,2–0,Parma,,,Paolo Tagliavento,Relatório da Partida,
17,dom,2009-12-20,,Inter,1–0,Lazio,,,Carmine Russo,Relatório da Partida,
17,dom,2009-12-20,,Juventus,1–2,Catania,,,Nicola Pierpaoli,Relatório da Partida,
,,,,,,,,,,,
18,qua,2010-01-06,,Chievo,0–1,Inter,,,Nicola Pierpaoli,Relatório da Partida,
18,qua,2010-01-06,,Catania,1–0,Bologna,,,Matteo Trefoloni,Relatório da Partida,
18,qua,2010-01-06,,Lazio,4–1,Livorno,,,Antonio Giannoccaro,Relatório da Partida,
18,qua,2010-01-06,,Atalanta,0–2,Napoli,,,Roberto Rosetti,Relatório da Partida,
18,qua,2010-01-06,,Cagliari,2–2,Roma,,,Gianluca Rocchi,Relatório da Partida,
18,qua,2010-01-06,,Sampdoria,1–1,Palermo,,,Andrea Romeo,Relatório da Partida,
18,qua,2010-01-06,,Siena,1–5,Fiorentina,,,Domenico Celi,Relatório da Partida,
18,qua,2010-01-06,,Parma,1–2,Juventus,,,Nicola Rizzoli,Relatório da Partida,
18,qua,2010-01-06,,Milan,5–2,Genoa,,,Daniele Orsato,Relatório da Partida,
18,qua,2010-01-06,,Bari,2–0,Udinese,,,Paolo Mazzoleni,Relatório da Partida,
,,,,,,,,,,,
19,sáb,2010-01-09,,Inter,4–3,Siena,,,Sebastiano Peruzzo,Relatório da Partida,
19,sáb,2010-01-09,,Roma,1–0,Chievo,,,Paolo Mazzoleni,Relatório da Partida,
19,dom,2010-01-10,,Udinese,1–1,Lazio,,,Mauro Bergonzi,Relatório da Partida,
19,dom,2010-01-10,,Napoli,1–0,Sampdoria,,,Nicola Rizzoli,Relatório da Partida,
19,dom,2010-01-10,,Palermo,1–0,Atalanta,,,Gabriele Gava,Relatório da Partida,
19,dom,2010-01-10,,Genoa,2–0,Catania,,,Roberto Rosetti,Relatório da Partida,
19,dom,2010-01-10,,Fiorentina,2–1,Bari,,,Andrea Gervasoni,Relatório da Partida,
19,dom,2010-01-10,,Bologna,0–1,Cagliari,,,Riccardo Pinzani,Relatório da Partida,
19,dom,2010-01-10,,Juventus,0–3,Milan,,,Antonio Damato,Relatório da Partida,
19,dom,2010-01-10,,Livorno,2–1,Parma,,,Andrea De Marco,Relatório da Partida,
,,,,,,,,,,,
20,sáb,2010-01-16,,Bari,2–2,Inter,,,Roberto Rosetti,Relatório da Partida,
20,sáb,2010-01-16,,Cagliari,3–0,Livorno,,,Angelo Giancola,Relatório da Partida,
20,dom,2010-01-17,,Chievo,1–0,Juventus,,,Paolo Valeri,Relatório da Partida,
20,dom,2010-01-17,,Roma,3–0,Genoa,,,Andrea Romeo,Relatório da Partida,
20,dom,2010-01-17,,Parma,0–0,Udinese,,,Leonardo Baracani,Relatório da Partida,
20,dom,2010-01-17,,Napoli,0–0,Palermo,,,Daniele Orsato,Relatório da Partida,
20,dom,2010-01-17,,Atalanta,3–0,Lazio,,,Matteo Trefoloni,Relatório da Partida,
20,dom,2010-01-17,,Sampdoria,1–1,Catania,,,Emidio Morganti,Relatório da Partida,
20,dom,2010-01-17,,Milan,4–0,Siena,,,Max Saccani,Relatório da Partida,
20,dom,2010-01-17,,Fiorentina,1–2,Bologna,,,Luca Banti,Relatório da Partida,
,,,,,,,,,,,
17,qua,2010-01-20,,Genoa,1–1,Bari,,,Max Saccani,Relatório da Partida,
