Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
9,sáb,2020-11-07,16:15 (12:15),Barcelona,3.4,5–2,1.1,Betis,,Camp Nou,Guillermo Cuadra,Relatório da Partida,
9,sáb,2020-11-07,18:30 (14:30),Sevilla,1.1,1–0,0.7,Osasuna,,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Relatório da Partida,
9,sáb,2020-11-07,21:00 (17:00),Atlético Madrid,2.1,4–0,0.4,Cádiz,,Estadio Wanda Metropolitano,Adrián Cordero,Relatório da Partida,
9,dom,2020-11-08,14:00 (10:00),Getafe,0.7,1–3,2.3,Villarreal,,Coliseum Alfonso Pérez,José Luis Munuera,Relatório da Partida,
9,dom,2020-11-08,16:15 (12:15),Real Sociedad,3.4,2–0,0.8,Granada,,Estadio Municipal de Anoeta,Carlos del Cerro,Relatório da Partida,
9,dom,2020-11-08,18:30 (14:30),Valladolid,2.1,2–1,1.7,Athletic Club,,Estadio Municipal José Zorrilla,César Soto,Relatório da Partida,
9,dom,2020-11-08,18:30 (14:30),Levante,2.1,1–1,0.8,Alavés,,Estadio Ciudad de Valencia,Isidro Díaz de Mera,Relatório da Partida,
9,dom,2020-11-08,21:00 (17:00),Valencia,2.5,4–1,1.3,Real Madrid,,Estadio de Mestalla,Jesús Gil,Relatório da Partida,
,,,,,,,,,,,,,
10,sex,2020-11-20,21:00 (17:00),Osasuna,1.0,1–1,0.7,Huesca,,Estadio El Sadar,Valentín Pizarro,Relatório da Partida,
10,sáb,2020-11-21,14:00 (10:00),Levante,0.7,1–1,0.6,Elche,,Estadio Ciudad de Valencia,Jorge Figueroa,Relatório da Partida,
10,sáb,2020-11-21,16:15 (12:15),Villarreal,1.7,1–1,0.6,Real Madrid,,Estadio de la Cerámica,Alejandro Hernández,Relatório da Partida,
10,sáb,2020-11-21,18:30 (14:30),Sevilla,2.6,4–2,2.1,Celta Vigo,,Estadio Ramón Sánchez Pizjuán,César Soto,Relatório da Partida,
10,sáb,2020-11-21,21:00 (17:00),Atlético Madrid,0.5,1–0,0.9,Barcelona,,Estadio Wanda Metropolitano,José Luis Munuera,Relatório da Partida,
10,dom,2020-11-22,14:00 (10:00),Eibar,1.3,0–0,0.4,Getafe,,Estadio Municipal de Ipurúa,Pablo González,Relatório da Partida,
10,dom,2020-11-22,16:15 (12:15),Cádiz,0.1,0–1,1.2,Real Sociedad,,Estadio Nuevo Mirandilla,Javier Estrada,Relatório da Partida,
10,dom,2020-11-22,18:30 (14:30),Granada,1.5,1–3,1.3,Valladolid,,Estadio Nuevo Los Cármenes,David Medié,Relatório da Partida,
10,dom,2020-11-22,21:00 (17:00),Alavés,1.7,2–2,1.9,Valencia,,Estadio de Mendizorroza,Santiago Jaime,Relatório da Partida,
10,seg,2020-11-23,21:00 (17:00),Athletic Club,2.5,4–0,0.4,Betis,,San Mamés,Alberola Rojas,Relatório da Partida,
,,,,,,,,,,,,,
11,sex,2020-11-27,21:00 (17:00),Valladolid,1.6,1–1,1.1,Levante,,Estadio Municipal José Zorrilla,Valentín Pizarro,Relatório da Partida,
11,sáb,2020-11-28,14:00 (10:00),Elche,0.1,1–1,0.5,Cádiz,,Estadio Manuel Martínez Valero,Carlos del Cerro,Relatório da Partida,
11,sáb,2020-11-28,16:15 (12:15),Valencia,0.2,0–1,0.9,Atlético Madrid,,Estadio de Mestalla,Ricardo de Burgos,Relatório da Partida,
11,sáb,2020-11-28,18:30 (14:30),Huesca,0.2,0–1,1.8,Sevilla,,Estadio El Alcoraz,Guillermo Cuadra,Relatório da Partida,
11,sáb,2020-11-28,21:00 (17:00),Real Madrid,1.7,1–2,2.2,Alavés,,Estadio Alfredo Di Stéfano,Adrián Cordero,Relatório da Partida,
11,dom,2020-11-29,14:00 (10:00),Barcelona,3.7,4–0,1.5,Osasuna,,Camp Nou,Antonio Matéu Lahoz,Relatório da Partida,
11,dom,2020-11-29,16:15 (12:15),Getafe,0.5,1–1,0.3,Athletic Club,,Coliseum Alfonso Pérez,Mario Melero,Relatório da Partida,
11,dom,2020-11-29,18:30 (14:30),Celta Vigo,4.2,3–1,1.6,Granada,,Estadio de Balaídos,Isidro Díaz de Mera,Relatório da Partida,
11,dom,2020-11-29,21:00 (17:00),Real Sociedad,1.7,1–1,1.2,Villarreal,,Estadio Municipal de Anoeta,Jesús Gil,Relatório da Partida,
11,seg,2020-11-30,21:00 (17:00),Betis,0.7,0–2,2.9,Eibar,,Estadio Benito Villamarín,Juan Martínez,Relatório da Partida,
,,,,,,,,,,,,,
12,sex,2020-12-04,21:00 (17:00),Athletic Club,0.5,0–2,1.2,Celta Vigo,,San Mamés,Jorge Figueroa,Relatório da Partida,
12,sáb,2020-12-05,14:00 (10:00),Levante,2.2,3–0,0.5,Getafe,,Estadio Ciudad de Valencia,David Medié,Relatório da Partida,
12,sáb,2020-12-05,16:15 (12:15),Sevilla,0.7,0–1,1.5,Real Madrid,,Estadio Ramón Sánchez Pizjuán,José Sánchez,Relatório da Partida,
12,sáb,2020-12-05,18:30 (14:30),Atlético Madrid,1.2,2–0,0.7,Valladolid,,Estadio Wanda Metropolitano,Pablo González,Relatório da Partida,
12,sáb,2020-12-05,21:00 (17:00),Cádiz,2.5,2–1,1.5,Barcelona,,Estadio Nuevo Mirandilla,César Soto,Relatório da Partida,
12,dom,2020-12-06,14:00 (10:00),Granada,1.5,3–3,1.5,Huesca,,Estadio Nuevo Los Cármenes,Alberola Rojas,Relatório da Partida,
12,dom,2020-12-06,16:15 (12:15),Osasuna,0.4,0–2,1.4,Betis,,Estadio El Sadar,Alejandro Hernández,Relatório da Partida,
12,dom,2020-12-06,18:30 (14:30),Villarreal,0.6,0–0,0.1,Elche,,Estadio de la Cerámica,Santiago Jaime,Relatório da Partida,
12,dom,2020-12-06,21:00 (17:00),Alavés,0.3,0–0,1.4,Real Sociedad,,Estadio de Mendizorroza,José Luis Munuera,Relatório da Partida,
12,seg,2020-12-07,21:00 (17:00),Eibar,1.3,0–0,0.5,Valencia,,Estadio Municipal de Ipurúa,Javier Estrada,Relatório da Partida,
,,,,,,,,,,,,,
13,sex,2020-12-11,21:00 (17:00),Valladolid,2.0,3–2,1.9,Osasuna,,Estadio Municipal José Zorrilla,Adrián Cordero,Relatório da Partida,
13,sáb,2020-12-12,14:00 (10:00),Valencia,1.5,2–2,1.9,Athletic Club,,Estadio de Mestalla,Carlos del Cerro,Relatório da Partida,
13,sáb,2020-12-12,16:15 (12:15),Getafe,0.5,0–1,0.5,Sevilla,,Coliseum Alfonso Pérez,Juan Martínez,Relatório da Partida,
13,sáb,2020-12-12,18:30 (14:30),Huesca,0.4,1–0,0.2,Alavés,,Estadio El Alcoraz,Mario Melero,Relatório da Partida,
13,sáb,2020-12-12,21:00 (17:00),Real Madrid,0.9,2–0,0.7,Atlético Madrid,,Estadio Alfredo Di Stéfano,Antonio Matéu Lahoz,Relatório da Partida,
13,dom,2020-12-13,14:00 (10:00),Real Sociedad,1.2,1–1,1.7,Eibar,,Estadio Municipal de Anoeta,Isidro Díaz de Mera,Relatório da Partida,
13,dom,2020-12-13,16:15 (12:15),Betis,0.6,1–1,1.2,Villarreal,,Estadio Benito Villamarín,Valentín Pizarro,Relatório da Partida,
13,dom,2020-12-13,18:30 (14:30),Elche,0.6,0–1,1.6,Granada,,Estadio Manuel Martínez Valero,Pablo González,Relatório da Partida,
13,dom,2020-12-13,21:00 (17:00),Barcelona,2.1,1–0,1.0,Levante,,Camp Nou,Ricardo de Burgos,Relatório da Partida,
13,seg,2020-12-14,21:00 (17:00),Celta Vigo,1.5,4–0,0.6,Cádiz,,Estadio de Balaídos,Guillermo Cuadra,Relatório da Partida,
,,,,,,,,,,,,,
