Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
10,dom,2012-11-04,,La Coruña,1–0,Mallorca,,Riazor,Velasco Carballo,Relatório da Partida,
10,dom,2012-11-04,,Sevilla,0–0,Levante,,Ramón Sánchez Pizjuán,Clos Gómez,Relatório da Partida,
10,dom,2012-11-04,,Osasuna,0–1,Valladolid,,Reyno de Navarra,Pérez Montero,Relatório da Partida,
10,dom,2012-11-04,,Real Sociedad,0–1,Espanyol,,Anoeta,Paradas Romero,Relatório da Partida,
10,seg,2012-11-05,,Getafe,2–4,Betis,,Coliseum Alfonso Pérez,Ayza Gámez,Relatório da Partida,
,,,,,,,,,,,
11,sex,2012-11-09,,Betis,1–2,Granada,,Benito Villamarín,Delgado Ferreiro,Relatório da Partida,
11,sáb,2012-11-10,,Zaragoza,5–3,La Coruña,,La Romareda,Teixeira Vitienes,Relatório da Partida,
11,sáb,2012-11-10,,Rayo Vallecano,3–2,Celta Vigo,,Estadio de Vallecas Teresa Rivero,Álvarez Izquierdo,Relatório da Partida,
11,sáb,2012-11-10,,Espanyol,0–3,Osasuna,,Cornellá - El Prat,Gil Manzano,Relatório da Partida,
11,sáb,2012-11-10,,Málaga,1–2,Real Sociedad,,La Rosaleda,Undiano Mallenco,Relatório da Partida,
11,dom,2012-11-11,,Atlético Madrid,2–0,Getafe,,Vicente Calderón,Paradas Romero,Relatório da Partida,
11,dom,2012-11-11,,Levante,1–2,Real Madrid,,Ciutat de Valencia,Muñiz Fernández,Relatório da Partida,
11,dom,2012-11-11,,Mallorca,2–4,Barcelona,,Son Moix,Iglesias Villanueva,Relatório da Partida,
11,dom,2012-11-11,,Athletic Club,2–1,Sevilla,,San Mamés,Hernández Hernández,Relatório da Partida,
11,dom,2012-11-11,,Valladolid,1–1,Valencia,,José Zorrilla,Velasco Carballo,Relatório da Partida,
,,,,,,,,,,,
12,sáb,2012-11-17,,Barcelona,3–1,Zaragoza,,Camp Nou,Ayza Gámez,Relatório da Partida,
12,sáb,2012-11-17,,Real Madrid,5–1,Athletic Club,,Santiago Bernabéu,Teixeira Vitienes,Relatório da Partida,
12,sáb,2012-11-17,,Osasuna,0–0,Málaga,,Reyno de Navarra,Estrada Fernández,Relatório da Partida,
12,sáb,2012-11-17,,Valencia,2–1,Espanyol,,Mestalla,Del Cerro Grande,Relatório da Partida,
12,dom,2012-11-18,,Celta Vigo,1–1,Mallorca,,Balaídos,Pérez Montero,Relatório da Partida,
12,dom,2012-11-18,,Granada,0–1,Atlético Madrid,,Nuevo Los Cármenes,González González,Relatório da Partida,
12,dom,2012-11-18,,La Coruña,0–2,Levante,,Riazor,Pérez Lasa,Relatório da Partida,
12,dom,2012-11-18,,Getafe,2–1,Valladolid,,Coliseum Alfonso Pérez,Clos Gómez,Relatório da Partida,
12,dom,2012-11-18,,Sevilla,5–1,Betis,,Ramón Sánchez Pizjuán,Teixeira Vitienes,Relatório da Partida,
12,seg,2012-11-19,,Real Sociedad,4–0,Rayo Vallecano,,Anoeta,Mateu Lahoz,Relatório da Partida,
,,,,,,,,,,,
13,sex,2012-11-23,,Real Sociedad,0–0,Osasuna,,Anoeta,Velasco Carballo,Relatório da Partida,
13,sáb,2012-11-24,,Betis,1–0,Real Madrid,,Benito Villamarín,Gil Manzano,Relatório da Partida,
13,sáb,2012-11-24,,Valladolid,1–0,Granada,,José Zorrilla,Pérez Lasa,Relatório da Partida,
