Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
80;Bryan;esESP;MF,FW;Valencia;20;2001;8.4;3;0;0;13;20;7;44;1;8;0.0;0.0;0;54.0;1.0;7.0
81;Ante Budimir;hrCRO;FW;Osasuna;30;1991;19.3;3;0;0;37;32;16;7;3;10;1.0;0.0;0;50.0;106.0;99.0
82;Sergio Busquets;esESP;MF;Barcelona;33;1988;35.5;12;0;0;53;67;2;3;45;49;0.0;0.0;0;281.0;57.0;68.0
83;Adrián Butzke;esESP;FW;Granada;22;1999;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0
84;Erick Cabaco;uyURU;DF;Getafe;26;1995;4.5;4;1;1;7;4;0;1;4;1;0.0;0.0;1;14.0;8.0;6.0
85;Leandro Cabrera;uyURU;DF;Espanyol;30;1991;37.0;7;0;0;32;21;2;13;44;24;0.0;2.0;1;147.0;82.0;48.0
86;Martín Cáceres;uyURU;DF;Levante;34;1987;7.4;2;0;0;8;8;0;4;11;2;0.0;0.0;0;43.0;7.0;12.0
87;Cala;esESP;DF;Cádiz;31;1989;10.5;8;1;1;11;7;1;0;12;4;0.0;2.0;0;44.0;15.0;15.0
88;Calderón;esESP;DF;Betis;21;2000;0.7;0;0;0;1;1;0;4;0;0;0.0;0.0;0;6.0;0.0;2.0
89;Fernando Calero;esESP;DF;Espanyol;25;1995;12.1;3;0;0;10;6;0;0;16;10;0.0;1.0;0;46.0;21.0;22.0
90;Víctor Camarasa;esESP;MF,FW;Betis;27;1994;1.2;0;0;0;2;3;0;0;2;1;0.0;0.0;0;6.0;2.0;1.0
91;Eduardo Camavinga;frFRA;MF;Real Madrid;18;2002;13.7;8;0;0;35;29;1;3;17;35;0.0;0.0;0;85.0;28.0;13.0
92;José Campaña;esESP;MF;Levante;28;1993;15.8;6;1;0;17;22;1;56;21;16;0.0;0.0;0;109.0;17.0;18.0
93;Sergio Canales;esESP;FW,MF;Betis;30;1991;31.0;6;0;0;19;39;11;67;10;14;0.0;0.0;0;179.0;11.0;26.0
94;Álex Cantero;esESP;FW,MF;Levante;21;2000;6.8;1;0;0;13;4;0;6;1;4;0.0;0.0;0;17.0;3.0;13.0
95;Ander Capa;esESP;DF;Athletic Club;29;1992;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0
96;Étienne Capoue;frFRA;MF;Villarreal;33;1988;25.4;9;0;0;44;44;0;5;35;26;0.0;0.0;0;135.0;52.0;24.0
97;Isaac Carcelen;esESP;DF,MF;Cádiz;28;1993;17.2;2;0;0;23;25;1;49;34;29;0.0;0.0;0;114.0;15.0;18.0
98;Cárdenas;esESP;GK;Levante;24;1997;24.0;3;0;0;0;3;0;0;1;1;0.0;0.0;0;33.0;2.0;1.0
99;Carlo;esESP;MF;Villarreal;20;2001;0.1;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0
100;Diego Carlos;brBRA;DF;Sevilla;28;1993;32.9;4;1;1;33;19;1;3;24;24;0.0;2.0;0;190.0;80.0;42.0
