Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2017-12-28;Crystal Palace;2–3;Arsenal;Relatório da Partida;2017;2;3
2017-12-30;Huddersfield;0–0;Burnley;Relatório da Partida;2017;0;0
2017-12-30;Chelsea;5–0;Stoke City;Relatório da Partida;2017;5;0
2017-12-30;Bournemouth;2–1;Everton;Relatório da Partida;2017;2;1
2017-12-30;Liverpool;2–1;Leicester City;Relatório da Partida;2017;2;1
2017-12-30;Watford;1–2;Swansea City;Relatório da Partida;2017;1;2
2017-12-30;Newcastle Utd;0–0;Brighton;Relatório da Partida;2017;0;0
2017-12-30;Manchester Utd;0–0;Southampton;Relatório da Partida;2017;0;0
2017-12-31;Crystal Palace;0–0;Manchester City;Relatório da Partida;2017;0;0
2017-12-31;West Brom;1–1;Arsenal;Relatório da Partida;2017;1;1
2018-01-01;Brighton;2–2;Bournemouth;Relatório da Partida;2017;2;2
2018-01-01;Leicester City;3–0;Huddersfield;Relatório da Partida;2017;3;0
2018-01-01;Burnley;1–2;Liverpool;Relatório da Partida;2017;1;2
2018-01-01;Stoke City;0–1;Newcastle Utd;Relatório da Partida;2017;0;1
2018-01-01;Everton;0–2;Manchester Utd;Relatório da Partida;2017;0;2
2018-01-02;West Ham;2–1;West Brom;Relatório da Partida;2017;2;1
2018-01-02;Swansea City;0–2;Tottenham;Relatório da Partida;2017;0;2
2018-01-02;Southampton;1–2;Crystal Palace;Relatório da Partida;2017;1;2
2018-01-02;Manchester City;3–1;Watford;Relatório da Partida;2017;3;1
2018-01-03;Arsenal;2–2;Chelsea;Relatório da Partida;2017;2;2
2018-01-04;Tottenham;1–1;West Ham;Relatório da Partida;2017;1;1
2018-01-13;Newcastle Utd;1–1;Swansea City;Relatório da Partida;2017;1;1
2018-01-13;Crystal Palace;1–0;Burnley;Relatório da Partida;2017;1;0
2018-01-13;Chelsea;0–0;Leicester City;Relatório da Partida;2017;0;0
2018-01-13;Huddersfield;1–4;West Ham;Relatório da Partida;2017;1;4
2018-01-13;West Brom;2–0;Brighton;Relatório da Partida;2017;2;0
2018-01-13;Watford;2–2;Southampton;Relatório da Partida;2017;2;2
2018-01-13;Tottenham;4–0;Everton;Relatório da Partida;2017;4;0
2018-01-14;Bournemouth;2–1;Arsenal;Relatório da Partida;2017;2;1
2018-01-14;Liverpool;4–3;Manchester City;Relatório da Partida;2017;4;3
2018-01-15;Manchester Utd;3–0;Stoke City;Relatório da Partida;2017;3;0
2018-01-20;Brighton;0–4;Chelsea;Relatório da Partida;2017;0;4
2018-01-20;Everton;1–1;West Brom;Relatório da Partida;2017;1;1
2018-01-20;Leicester City;2–0;Watford;Relatório da Partida;2017;2;0
2018-01-20;Stoke City;2–0;Huddersfield;Relatório da Partida;2017;2;0
2018-01-20;Arsenal;4–1;Crystal Palace;Relatório da Partida;2017;4;1
2018-01-20;West Ham;1–1;Bournemouth;Relatório da Partida;2017;1;1
2018-01-20;Burnley;0–1;Manchester Utd;Relatório da Partida;2017;0;1
2018-01-20;Manchester City;3–1;Newcastle Utd;Relatório da Partida;2017;3;1
2018-01-21;Southampton;1–1;Tottenham;Relatório da Partida;2017;1;1
2018-01-22;Swansea City;1–0;Liverpool;Relatório da Partida;2017;1;0
2018-01-30;West Ham;1–1;Crystal Palace;Relatório da Partida;2017;1;1
