Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
142;Nicolas Cozza;frFRA;DF;Montpellier;22;1999;30.8;2;1;0;24;19;1;24;38;47;0;1;0;137;40;35
143;Enzo Crivelli;frFRA;FW,MF;Saint-Étienne;26;1995;1.1;0;0;0;1;0;1;0;0;0;0;0;0;2;4;5
144;Wylan Cyprien;frFRA;MF;Nantes;26;1995;16.6;3;0;0;19;16;1;70;10;17;0;0;0;106;5;13
145;Lucas Da Cunha;frFRA;MF;Nice;20;2001;4.4;0;0;0;3;5;0;23;1;7;0;0;0;25;6;6
146;Lucas Da Cunha;frFRA;FW,MF;Clermont Foot;20;2001;9.3;0;0;0;6;4;1;20;1;11;0;0;0;43;7;14
147;Damien Da Silva;frFRA;DF;Lyon;33;1988;12.5;5;1;1;19;4;0;1;22;9;0;1;0;55;35;16
148;Colin Dagba;frFRA;DF;Paris S-G;22;1998;1.8;1;0;0;6;2;0;8;2;2;0;0;0;7;1;2
149;Flavius Daniliuc;atAUT;DF;Nice;20;2001;14.4;4;0;0;17;4;1;7;14;31;0;0;0;98;21;24
150;Kevin Danso;atAUT;DF;Lens;22;1998;31.0;9;2;1;43;36;1;1;40;29;1;0;0;206;72;30
151;Dante;brBRA;DF;Nice;37;1983;31.9;7;3;1;26;12;0;3;49;29;1;1;0;208;50;27
152;Jonathan David;caCAN;FW;Lille;21;2000;31.2;3;0;0;25;47;6;6;5;9;0;0;0;104;26;65
153;Konrad De La Fuente;usUSA;FW,MF;Marseille;20;2001;8.7;1;0;0;2;6;1;19;2;7;0;0;0;30;4;6
154;Romain Del Castillo;frFRA;MF,FW;Rennes;25;1996;0.3;0;0;0;0;3;0;0;1;1;0;0;0;2;0;1
155;Romain Del Castillo;frFRA;MF,FW;Brest;25;1996;10.8;1;1;0;16;20;0;45;7;16;1;0;0;80;4;12
156;Thomas Delaine;frFRA;DF;Metz;29;1992;25.7;4;0;0;22;14;1;111;27;35;0;0;0;137;7;20
157;Sacha Delaye;frFRA;MF,FW;Montpellier;19;2002;2.9;0;0;0;5;1;0;3;1;6;0;0;0;13;1;5
158;Andy Delort;dzALG;FW;Nice;29;1991;27.2;3;0;0;38;43;16;51;9;9;1;0;0;59;94;101
159;Andy Delort;dzALG;FW;Montpellier;29;1991;3.0;0;0;0;6;3;0;14;0;0;0;0;0;6;11;9
160;Moussa Dembélé;frFRA;FW;Lyon;25;1996;24.5;6;0;0;29;19;10;2;8;9;3;0;0;44;60;59
161;Jason Denayer;beBEL;DF;Lyon;26;1995;11.1;2;0;0;7;5;0;1;16;4;0;1;0;46;16;22
162;Arthur Desmas;frFRA;GK;Clermont Foot;27;1994;14.5;0;0;0;0;4;0;0;0;0;0;0;1;14;0;0
163;Ángel Di María;arARG;FW;Paris S-G;33;1988;18.3;2;0;0;9;14;7;122;6;18;1;0;0;71;0;0
164;Yadaly Diaby;frFRA;FW,MF;Clermont Foot;20;2000;0.7;1;1;0;2;1;0;0;2;0;0;0;0;5;1;1
165;Ibrahim Diakité;gnGUI;MF;Reims;17;2003;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;Abdou Diallo;snSEN;DF;Paris S-G;25;1996;9.7;1;0;0;12;3;0;18;10;14;0;0;0;45;14;6
167;Habib Diallo;snSEN;FW;Strasbourg;26;1995;17.1;2;0;0;17;20;15;9;4;5;0;0;0;48;55;60
168;Mouhamadou Diarra;snSEN;MF;Strasbourg;17;2004;1.2;1;0;0;2;1;0;0;0;1;0;0;0;8;2;1
169;Stéphane Diarra;frFRA;MF,FW;Lorient;22;1998;5.8;2;0;0;6;8;2;22;7;9;1;0;0;36;2;6
170;Krépin Diatta;snSEN;MF,DF;Monaco;22;1999;3.2;0;0;0;3;8;0;3;1;2;0;0;0;13;12;4
171;Bamba Dieng;snSEN;FW;Marseille;21;2000;10.8;0;1;0;14;13;4;3;5;11;2;0;0;41;13;20
172;Elhadji Dieye;snSEN;FW,MF;Saint-Étienne;19;2002;0.4;0;0;0;1;2;1;1;1;2;0;0;0;4;1;1
173;Javairô Dilrosun;nlNED;MF,FW;Bordeaux;23;1998;19.2;3;0;0;13;30;1;69;11;4;0;0;0;68;6;14
174;Junior Dina Ebimbe;frFRA;MF;Paris S-G;20;2000;3.5;2;0;0;11;4;0;2;2;4;0;0;0;12;1;1
175;Tristan Dingomé;cmCMR;MF,FW;Troyes;30;1991;12.0;3;0;0;12;14;1;43;9;11;1;0;0;53;4;7
176;Sinaly Diomande;ciCIV;DF;Lyon;20;2001;6.4;2;0;0;5;3;0;0;12;3;0;0;1;34;16;5
177;Sofiane Diop;frFRA;MF,FW;Monaco;21;2000;21.6;6;0;0;28;41;4;95;23;20;1;1;0;134;12;28
178;Andy Diouf;frFRA;MF;Rennes;18;2003;0.2;0;0;0;1;1;0;0;0;1;0;0;0;2;0;1
179;Assane Dioussé;snSEN;MF;Saint-Étienne;23;1997;0.3;0;0;0;0;1;0;1;0;1;0;0;0;5;1;0
180;Axel Disasi;frFRA;DF;Monaco;23;1998;30.2;5;0;0;43;13;3;1;26;27;0;1;0;183;71;43
181;Tiago Djaló;ptPOR;DF;Lille;21;2000;25.9;4;0;0;23;22;1;11;24;39;0;0;2;190;23;31
182;Alexander Djiku;ghGHA;DF;Strasbourg;26;1994;29.9;10;1;1;44;28;2;15;61;37;0;2;0;142;71;29
183;Bryan Djile Nokoué;cmCMR;DF,MF;Saint-Étienne;19;2002;0.6;0;0;0;0;1;0;1;1;3;0;0;0;3;0;0
184;Ouparine Djoco;snSEN;GK;Clermont Foot;23;1998;23.5;1;0;0;1;4;0;0;1;0;0;1;0;35;2;2
185;Jeremy Doku;beBEL;FW,MF;Rennes;19;2002;5.2;2;0;0;9;15;0;13;3;5;0;0;0;38;2;5
186;Kasper Dolberg;dkDEN;FW;Nice;23;1997;16.6;0;0;0;30;29;3;5;6;4;0;0;0;38;21;25
187;Brandon Domingues;frFRA;MF,FW;Troyes;21;2000;2.6;0;0;0;3;9;0;11;3;2;0;0;0;12;0;1
188;Anastasios Donis;grGRE;FW,MF;Reims;24;1996;4.1;0;1;0;9;3;8;24;0;7;0;0;0;11;2;5
189;Gianluigi Donnarumma;itITA;GK;Paris S-G;22;1999;17.0;3;0;0;0;2;0;0;0;0;0;0;0;25;3;0
190;Jodel Dossou;bjBEN;FW;Clermont Foot;29;1992;22.3;4;0;0;25;38;15;60;5;17;1;0;0;97;7;15
191;Lohann Doucet;frFRA;MF,DF;Nantes;18;2002;0.1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
192;Cheick Doucouré;mlMLI;MF;Lens;21;2000;32.7;7;1;0;42;24;0;6;68;43;0;0;0;218;22;21
193;Fodé Doucouré;mlMLI;DF,FW;Reims;20;2001;1.7;0;0;0;1;1;0;4;4;9;0;0;0;10;1;5
194;Ismaël Doukouré;frFRA;DF;Strasbourg;18;2003;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
195;Kamory Doumbia;mlMLI;MF,FW;Reims;18;2003;3.9;1;0;0;1;4;1;9;3;2;0;0;0;26;3;6
196;Moussa Doumbia;mlMLI;FW;Reims;26;1994;1.0;0;0;0;0;2;1;2;0;0;0;0;0;2;0;4
197;Souleyman Doumbia;ciCIV;DF,FW;Angers;24;1996;24.7;10;1;0;22;25;1;69;39;20;0;2;0;127;14;16
198;Julian Draxler;deGER;FW,MF;Paris S-G;27;1993;6.1;0;0;0;4;1;1;5;5;2;0;0;0;26;1;4
199;Matthieu Dreyer;frFRA;GK;Lorient;32;1989;16.0;0;0;0;0;2;0;0;0;1;0;0;0;11;2;0
200;Leo Dubois;frFRA;DF;Lyon;26;1994;19.4;5;0;0;18;14;1;76;22;27;1;0;0;94;21;19
201;Jean-Kevin Duverne;frFRA;DF;Brest;24;1997;33.4;1;0;0;35;31;3;74;53;44;0;0;1;205;38;35
202;Enzo Ebosse;cmCMR;DF;Angers;22;1999;21.0;1;0;0;14;21;0;16;15;14;0;1;0;112;22;22
203;Hugo Ekitike;frFRA;FW;Reims;19;2002;14.1;1;1;0;18;31;12;4;6;10;2;1;0;66;26;33
204;Alberth Elis;hnHON;FW,MF;Bordeaux;25;1996;15.7;2;0;0;22;23;9;28;7;10;1;0;0;46;26;41
205;Sepe Elye Wahi;frFRA;FW;Montpellier;18;2003;19.8;2;0;0;18;26;21;11;4;10;2;0;0;46;13;60
206;Renaud Emond;beBEL;FW,MF;Nantes;29;1991;2.1;0;0;0;3;3;0;0;0;0;0;0;0;9;5;17
207;Maxime Estève;frFRA;DF;Montpellier;19;2002;20.6;2;0;0;10;6;0;0;22;18;0;0;0;92;32;27
208;Fábio;brBRA;DF;Nantes;31;1990;18.5;8;1;0;30;19;1;35;35;40;0;2;0;107;30;30
209;Cesc Fàbregas;esESP;MF;Monaco;34;1987;0.4;0;0;0;1;2;0;5;1;0;0;0;0;4;0;0
210;Wout Faes;beBEL;DF;Reims;23;1998;37.0;2;0;0;21;24;0;3;53;24;0;2;0;199;38;32
211;Romain Faivre;frFRA;FW,MF;Lyon;23;1998;9.9;0;0;0;14;17;1;61;3;4;0;0;0;55;2;1
212;Romain Faivre;frFRA;MF;Brest;23;1998;19.9;1;0;0;15;27;1;115;13;18;0;0;0;110;6;14
213;Wuilker Faríñez;veVEN;GK;Lens;23;1998;12.3;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0
214;Noah Fatar;frFRA;DF,MF;Angers;19;2002;0.1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
215;Julien Faussurier;frFRA;MF,DF;Brest;34;1987;5.4;1;0;0;5;7;5;38;5;6;0;0;0;36;5;5
216;Jordan Ferri;frFRA;MF;Montpellier;29;1992;32.3;13;1;1;49;72;0;39;30;35;0;1;0;300;17;34
217;Karol Fila;plPOL;DF;Strasbourg;23;1998;6.2;3;0;0;8;9;0;24;4;8;0;0;0;32;7;7
218;Alexis Flips;frFRA;MF,DF;Reims;21;2000;11.7;2;0;0;18;12;1;88;24;21;0;0;0;88;8;20
219;Mamadou Fofana;mlMLI;DF;Metz;23;1998;0.4;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1
220;Seko Fofana;ciCIV;MF;Lens;26;1995;37.3;2;0;0;27;45;5;41;26;19;0;0;0;210;15;13
221;Youssouf Fofana;frFRA;MF;Monaco;22;1999;24.3;4;0;0;33;25;0;6;32;43;0;1;0;175;14;10
222;Thomas Foket;beBEL;DF,FW;Reims;26;1994;24.8;5;0;0;26;27;5;64;33;19;1;0;0;135;15;19
223;Thomas Fontaine;mgMAD;DF;Lorient;30;1991;1.9;1;0;0;4;1;0;0;2;0;0;0;0;8;2;4
224;José Fonte;ptPOR;DF;Lille;37;1983;38.0;4;0;0;23;8;1;6;44;12;0;0;0;205;87;42
225;Steven Fortes;cvCPV;DF;Lens;29;1992;1.0;0;0;0;2;0;0;0;0;0;0;0;0;4;1;0
226;Przemysław Frankowski;plPOL;DF;Lens;26;1995;27.2;5;0;0;36;9;2;71;28;39;0;1;0;130;12;11
227;Fransérgio;brBRA;MF;Bordeaux;30;1990;14.0;7;0;0;26;12;0;6;23;10;0;1;0;78;27;32
228;Angelo Fulgini;frFRA;MF,FW;Angers;24;1996;32.5;6;0;0;36;84;5;69;22;25;0;0;0;137;33;41
229;Gauthier Gallon;frFRA;GK;Troyes;28;1993;31.0;2;0;0;0;7;0;0;2;0;0;0;0;33;2;1
230;Kévin Gameiro;frFRA;FW;Strasbourg;34;1987;26.5;0;0;0;16;17;14;16;6;10;1;0;0;81;10;48
231;Idrissa Gana Gueye;snSEN;MF;Paris S-G;31;1989;18.2;4;0;0;38;16;1;2;24;36;0;0;0;127;8;15
232;Ignatius Ganago;cmCMR;FW;Lens;22;1999;11.4;2;0;0;9;10;10;3;2;2;0;0;0;27;19;30
233;Djeidi Gassama;frFRA;FW;Paris S-G;17;2003;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;Johan Gastien;frFRA;MF;Clermont Foot;33;1988;30.5;8;2;0;29;33;0;61;53;34;0;1;1;260;21;27
235;Valère Germain;frFRA;FW;Montpellier;31;1990;21.9;3;0;0;23;27;7;15;9;14;0;0;0;54;53;104
236;Gerson;brBRA;MF,FW;Marseille;24;1997;28.3;3;0;0;45;67;2;22;16;17;2;0;0;109;23;19
237;Willem Geubbels;frFRA;FW,MF;Nantes;19;2001;6.0;1;0;0;10;4;5;6;6;5;0;0;0;16;10;13
238;Ismaël Gharbi;esESP;FW;Paris S-G;17;2004;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239;Lamine Ghezali;frFRA;DF;Saint-Étienne;22;1999;0.0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
240;Nicholas Gioacchini;usUSA;FW,MF;Montpellier;21;2000;5.5;0;0;0;4;17;3;3;4;5;1;0;0;31;20;21
241;Jimmy Giraudon;frFRA;DF;Troyes;29;1992;18.0;5;1;1;14;5;0;1;37;6;0;1;1;105;17;10
242;Andrei Girotto;brBRA;DF,MF;Nantes;29;1992;35.0;8;0;0;52;28;0;9;69;52;0;0;0;200;106;64
243;Aleksandr Golovin;ruRUS;FW,MF;Monaco;25;1996;16.7;4;1;0;21;21;2;111;12;22;0;0;0;96;6;13
244;Angel Gomes;engENG;MF,FW;Lille;20;2000;10.6;3;0;0;13;15;0;16;3;13;0;0;0;39;5;14
245;Alfred Gomis;snSEN;GK;Rennes;27;1993;25.0;1;0;0;1;3;0;0;1;0;0;1;0;29;4;0
246;Vagner Gonçalves;cvCPV;FW;Metz;25;1996;1.0;1;0;0;5;1;0;10;1;1;0;0;0;4;0;2
247;Álvaro González;esESP;DF;Marseille;31;1990;5.0;1;0;0;7;7;0;0;1;1;0;0;0;19;4;11
248;Amine Gouiri;frFRA;FW,MF;Nice;21;2000;30.6;3;0;0;30;33;6;98;11;13;1;0;0;89;12;24
