Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,9,dom,2017-10-15,17:00 (13:00),Montpellier,1.3,2–0,2.0,Nice,14.374,Stade de la Mosson,Jérôme Brisard,Relatório da Partida,
Temporada regular,9,dom,2017-10-15,21:00 (17:00),Strasbourg,2.0,3–3,3.1,Marseille,26.015,Stade de la Meinau,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,10,sex,2017-10-20,20:45 (16:45),Saint-Étienne,1.5,0–1,1.8,Montpellier,24.004,Stade Geoffroy-Guichard,Franck Schneider,Relatório da Partida,
Temporada regular,10,sáb,2017-10-21,17:00 (13:00),Monaco,2.3,2–0,0.5,Caen,8.040,Stade Louis II.,Thomas Léonard,Relatório da Partida,
Temporada regular,10,sáb,2017-10-21,20:00 (16:00),Rennes,0.7,1–0,0.7,Lille,21.852,Roazhon Park,Olivier Thual,Relatório da Partida,
Temporada regular,10,sáb,2017-10-21,20:00 (16:00),Metz,1.0,1–2,0.5,Dijon,14.748,Stade Saint-Symphorien,Mikael Lesage,Relatório da Partida,
Temporada regular,10,sáb,2017-10-21,20:00 (16:00),Nantes,0.7,2–1,0.9,Guingamp,27.711,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Relatório da Partida,
Temporada regular,10,sáb,2017-10-21,20:00 (16:00),Angers,1.5,0–1,0.2,Toulouse,11.001,Stade Raymond Kopa,Johan Hamel,Relatório da Partida,
Temporada regular,10,sáb,2017-10-21,20:00 (16:00),Amiens,1.1,1–0,1.1,Bordeaux,12.297,Stade Océane,Sébastien Desiage,Relatório da Partida,
Temporada regular,10,dom,2017-10-22,15:00 (11:00),Nice,1.9,1–2,1.1,Strasbourg,23.595,Stade de Nice,Nicolas Rainville,Relatório da Partida,
Temporada regular,10,dom,2017-10-22,17:00 (13:00),Troyes,0.4,0–5,2.6,Lyon,14.722,Stade de l'Aube,François Letexier,Relatório da Partida,
Temporada regular,10,dom,2017-10-22,21:00 (17:00),Marseille,1.2,2–2,0.6,Paris S-G,60.410,Orange Vélodrome,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,11,sex,2017-10-27,20:45 (16:45),Paris S-G,3.1,3–0,0.3,Nice,47.224,Parc des Princes,Tony Chapron,Relatório da Partida,
Temporada regular,11,sáb,2017-10-28,17:00 (13:00),Bordeaux,1.6,0–2,1.3,Monaco,28.831,Stade Matmut-Atlantique,Antony Gautier,Relatório da Partida,
