Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,6,sáb,2021-09-18,21:00 (16:00),Saint-Étienne,1.6,1–2,2.3,Bordeaux,23869,Stade Geoffroy-Guichard,Antony Gautier,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,13:00 (08:00),Nice,1.8,2–2,2.4,Monaco,,Stade de Nice,François Letexier,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,15:00 (10:00),Troyes,0.9,1–1,0.3,Montpellier,7405,Stade de l'Aube,Florent Batta,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,15:00 (10:00),Clermont Foot,1.2,1–1,0.5,Brest,11224,Stade Gabriel Montpied,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,15:00 (10:00),Reims,1.0,0–0,0.4,Lorient,9443,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,15:00 (10:00),Angers,0.9,1–4,2.2,Nantes,9046,Stade Raymond Kopa,Amaury Delerue,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,17:00 (12:00),Marseille,2.2,2–0,1.7,Rennes,54188,Orange Vélodrome,Willy Delajod,Relatório da Partida,,,
Temporada regular,6,dom,2021-09-19,20:45 (15:45),Paris S-G,1.9,2–1,0.8,Lyon,47611,Parc des Princes,Clément Turpin,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,7,qua,2021-09-22,19:00 (14:00),Rennes,2.6,6–0,0.3,Clermont Foot,24109,Roazhon Park,Benoît Bastien,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,19:00 (14:00),Nantes,1.4,3–1,1.1,Brest,19676,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,19:00 (14:00),Lille,1.0,2–1,1.4,Reims,32604,Stade Pierre-Mauroy,Johan Hamel,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,19:00 (14:00),Montpellier,1.6,3–3,1.3,Bordeaux,9585,Stade de la Mosson,Mikael Lesage,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,19:00 (14:00),Monaco,1.9,3–1,0.4,Saint-Étienne,3579,Stade Louis II.,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,21:00 (16:00),Lyon,1.9,3–1,1.6,Troyes,29714,Groupama Stadium,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,21:00 (16:00),Lens,2.0,0–1,1.2,Strasbourg,,Stade Bollaert-Delelis,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,21:00 (16:00),Lorient,0.4,1–0,2.5,Nice,10687,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,21:00 (16:00),Angers,0.5,0–0,0.8,Marseille,12458,Stade Raymond Kopa,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,7,qua,2021-09-22,21:00 (16:00),Metz,0.9,1–2,1.3,Paris S-G,2661,Stade Saint-Symphorien,Jérémie Pignard,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,8,sáb,2021-09-25,17:00 (12:00),Saint-Étienne,0.7,0–3,2.5,Nice,19980,Stade Geoffroy-Guichard,Amaury Delerue,Relatório da Partida,,,
Temporada regular,8,sáb,2021-09-25,19:00 (14:00),Strasbourg,0.6,1–2,2.3,Lille,23762,Stade de la Meinau,François Letexier,Relatório da Partida,,,
Temporada regular,8,sáb,2021-09-25,21:00 (16:00),Paris S-G,2.3,2–0,0.3,Montpellier,47408,Parc des Princes,Antony Gautier,Relatório da Partida,,,
Temporada regular,8,sáb,2021-09-25,21:00 (16:00),Lyon,1.2,1–1,0.8,Lorient,36424,Groupama Stadium,Bastien Dechepy,Relatório da Partida,,,
