Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,31,dom,2022-04-10,17:05 (12:05),Lens,0.6,3–0,1.6,Nice,36668,Stade Bollaert-Delelis,Willy Delajod,Relatório da Partida,,,
Temporada regular,31,dom,2022-04-10,19:00 (14:00),Strasbourg,1.2,1–1,2.0,Lyon,26073,Stade de la Meinau,Clément Turpin,Relatório da Partida,,,
Temporada regular,31,dom,2022-04-10,21:00 (16:00),Marseille,3.1,2–0,0.5,Montpellier,51131,Orange Vélodrome,Jeremy Stinat,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,32,sex,2022-04-15,21:00 (16:00),Rennes,1.7,2–3,2.8,Monaco,28336,Roazhon Park,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,32,sáb,2022-04-16,17:00 (12:00),Saint-Étienne,1.3,2–1,0.6,Brest,27227,Stade Geoffroy-Guichard,Eric Wattellier,Relatório da Partida,,,
Temporada regular,32,sáb,2022-04-16,21:00 (16:00),Lille,1.1,1–2,1.4,Lens,48169,Stade Pierre-Mauroy,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,13:00 (08:00),Nice,1.9,2–1,0.4,Lorient,17212,Stade de Nice,Amaury Delerue,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,15:00 (10:00),Nantes,3.4,1–1,0.9,Angers,25102,Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,15:00 (10:00),Metz,0.4,1–1,3.4,Clermont Foot,14335,Stade Saint-Symphorien,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,15:00 (10:00),Montpellier,1.4,0–0,1.3,Reims,10170,Stade de la Mosson,Antony Gautier,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,15:00 (10:00),Troyes,1.5,1–1,1.1,Strasbourg,10000,Stade de l'Aube,Benoît Millot,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,17:05 (12:05),Lyon,2.4,6–1,1.8,Bordeaux,38713,Groupama Stadium,Florent Batta,Relatório da Partida,,,
Temporada regular,32,dom,2022-04-17,20:45 (15:45),Paris S-G,0.8,2–1,0.9,Marseille,46000,Parc des Princes,François Letexier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,33,qua,2022-04-20,19:00 (14:00),Reims,1.7,2–1,1.3,Lille,10910,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,19:00 (14:00),Monaco,2.3,1–0,1.0,Nice,10247,Stade Louis II.,Benoît Millot,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,19:00 (14:00),Bordeaux,1.2,2–2,1.2,Saint-Étienne,38515,Stade Matmut-Atlantique,Benoît Bastien,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,19:00 (14:00),Lorient,2.0,1–0,1.8,Metz,13544,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,19:00 (14:00),Troyes,1.5,0–1,0.3,Clermont Foot,7800,Stade de l'Aube,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,21:00 (16:00),Angers,0.8,0–3,2.1,Paris S-G,13000,Stade Raymond Kopa,Johan Hamel,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,21:00 (16:00),Strasbourg,2.8,2–1,1.2,Rennes,25148,Stade de la Meinau,Willy Delajod,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,21:00 (16:00),Lens,1.3,2–0,0.8,Montpellier,36250,Stade Bollaert-Delelis,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,21:00 (16:00),Brest,0.9,2–1,3.0,Lyon,14028,Stade Francis-Le Blé,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,33,qua,2022-04-20,21:00 (16:00),Marseille,2.0,3–2,0.6,Nantes,55890,Orange Vélodrome,Ruddy Buquet,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,34,sáb,2022-04-23,17:00 (12:00),Lyon,4.4,5–2,2.1,Montpellier,46608,Groupama Stadium,François Letexier,Relatório da Partida,,,
Temporada regular,34,sáb,2022-04-23,19:00 (14:00),Saint-Étienne,1.1,1–4,3.1,Monaco,30018,Stade Geoffroy-Guichard,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,34,sáb,2022-04-23,21:00 (16:00),Paris S-G,2.5,1–1,0.8,Lens,47000,Parc des Princes,Amaury Delerue,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,13:00 (08:00),Rennes,2.0,5–0,0.8,Lorient,28324,Roazhon Park,Benoît Millot,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,15:00 (10:00),Metz,0.6,0–1,2.0,Brest,19874,Stade Saint-Symphorien,Florent Batta,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,15:00 (10:00),Nantes,2.1,5–3,2.8,Bordeaux,30000,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,15:00 (10:00),Nice,2.3,1–0,0.4,Troyes,17065,Stade de Nice,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,15:00 (10:00),Clermont Foot,2.1,2–2,1.7,Angers,11531,Stade Gabriel Montpied,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,17:05 (12:05),Lille,0.8,1–0,1.2,Strasbourg,30211,Stade Pierre-Mauroy,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,34,dom,2022-04-24,20:45 (15:45),Reims,0.7,0–1,0.9,Marseille,20835,Stade Auguste-Delaune II,Jérôme Brisard,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,35,sex,2022-04-29,21:00 (16:00),Strasbourg,1.9,3–3,3.0,Paris S-G,26052,Stade de la Meinau,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,35,sáb,2022-04-30,17:00 (12:00),Lens,2.9,2–2,2.1,Nantes,36727,Stade Bollaert-Delelis,Thomas Léonard,Relatório da Partida,,,
Temporada regular,35,sáb,2022-04-30,21:00 (16:00),Rennes,1.8,2–0,0.8,Saint-Étienne,27390,Roazhon Park,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,13:00 (08:00),Troyes,2.9,3–0,0.4,Lille,10497,Stade de l'Aube,Willy Delajod,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,15:00 (10:00),Brest,1.7,2–0,1.5,Clermont Foot,10592,Stade Francis-Le Blé,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,15:00 (10:00),Monaco,3.2,2–0,0.7,Angers,4616,Stade Louis II.,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,15:00 (10:00),Montpellier,2.1,2–2,1.6,Metz,10446,Stade de la Mosson,Clément Turpin,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,15:00 (10:00),Lorient,2.0,1–2,2.2,Reims,12216,Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,17:05 (12:05),Bordeaux,0.3,0–1,2.7,Nice,23552,Stade Matmut-Atlantique,Johan Hamel,Relatório da Partida,,,
Temporada regular,35,dom,2022-05-01,20:45 (15:45),Marseille,1.2,0–3,2.4,Lyon,68784,Orange Vélodrome,Antony Gautier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,36,sex,2022-05-06,21:00 (16:00),Lille,1.5,1–2,0.5,Monaco,39088,Stade Pierre-Mauroy,François Letexier,Relatório da Partida,,,
Temporada regular,36,sáb,2022-05-07,17:00 (12:00),Brest,0.6,0–1,3.1,Strasbourg,12093,Stade Francis-Le Blé,Mikael Lesage,Relatório da Partida,,,
Temporada regular,36,dom,2022-05-08,13:00 (08:00),Metz,2.0,3–2,2.4,Lyon,20405,Stade Saint-Symphorien,Eric Wattellier,Relatório da Partida,,,
Temporada regular,36,dom,2022-05-08,15:00 (10:00),Clermont Foot,2.4,2–1,1.4,Montpellier,11587,Stade Gabriel Montpied,Benoît Bastien,Relatório da Partida,,,
Temporada regular,36,dom,2022-05-08,15:00 (10:00),Angers,2.5,4–1,0.8,Bordeaux,10852,Stade Raymond Kopa,Benoît Millot,Relatório da Partida,,,
Temporada regular,36,dom,2022-05-08,15:00 (10:00),Reims,0.9,1–2,2.3,Lens,16962,Stade Auguste-Delaune II,Vitor Ferreira Fernandes,Relatório da Partida,,,
Temporada regular,36,dom,2022-05-08,17:05 (12:05),Lorient,0.4,0–3,1.6,Marseille,16210,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,36,dom,2022-05-08,20:45 (15:45),Paris S-G,2.5,2–2,1.9,Troyes,45000,Parc des Princes,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,36,qua,2022-05-11,19:00 (14:00),Nice,1.4,4–2,2.4,Saint-Étienne,17704,Stade de Nice,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,36,qua,2022-05-11,21:00 (16:00),Nantes,1.3,2–1,2.1,Rennes,26359,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Nice,1.9,1–3,2.1,Lille,24232,Stade de Nice,Thomas Léonard,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Bordeaux,1.3,0–0,1.2,Lorient,23191,Stade Matmut-Atlantique,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Montpellier,0.6,0–4,2.8,Paris S-G,19586,Stade de la Mosson,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Rennes,1.6,2–0,0.9,Marseille,28811,Roazhon Park,Benoît Bastien,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Monaco,4.1,4–2,1.8,Brest,6000,Stade Louis II.,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Troyes,0.3,1–3,1.2,Lens,19000,Stade de l'Aube,François Letexier,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Strasbourg,1.2,1–0,1.1,Clermont Foot,25231,Stade de la Meinau,Benoît Millot,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Metz,0.6,1–0,0.6,Angers,17213,Stade Saint-Symphorien,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Lyon,2.4,3–2,2.3,Nantes,54404,Groupama Stadium,Florent Batta,Relatório da Partida,,,
Temporada regular,37,sáb,2022-05-14,21:00 (16:00),Saint-Étienne,1.7,1–2,2.5,Reims,,Stade Geoffroy-Guichard,Clément Turpin,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Lille,1.9,2–2,1.4,Rennes,40116,Stade Pierre-Mauroy,Amaury Delerue,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Brest,1.1,2–4,3.4,Bordeaux,14484,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Nantes,2.3,1–1,1.6,Saint-Étienne,28636,Stade de la Beaujoire - Louis Fonteneau,François Letexier,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Clermont Foot,2.5,1–2,2.9,Lyon,12000,Stade Gabriel Montpied,Mikael Lesage,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Angers,2.6,2–0,1.3,Montpellier,11249,Stade Raymond Kopa,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Lorient,1.6,1–1,0.7,Troyes,15131,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Paris S-G,5.4,5–0,0.8,Metz,45000,Parc des Princes,Antony Gautier,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Reims,0.9,2–3,2.3,Nice,12589,Stade Auguste-Delaune II,Eric Wattellier,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Marseille,2.3,4–0,1.2,Strasbourg,63873,Orange Vélodrome,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,38,sáb,2022-05-21,21:00 (16:00),Lens,2.1,2–2,1.5,Monaco,37764,Stade Bollaert-Delelis,Benoît Bastien,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Eliminatória 1/2 de Rebaixamento/Promoção da França,,qui,2022-05-26,19:00 (14:00),Auxerre,,1–1,,Saint-Étienne,17479,Stade de l'Abbé Deschamps,,Relatório da Partida,Jogo de ida/volta 1 de 2,,
Eliminatória 1/2 de Rebaixamento/Promoção da França,,dom,2022-05-29,19:00 (14:00),Saint-Étienne,,1–1 ,,Auxerre,24489,Stade Geoffroy-Guichard,,Relatório da Partida,Jogo de ida/volta 2 de 2, Auxerre venceu, Auxerre venceu por
