Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,7,dom,2016-09-25,20:45 (15:45),Marseille,2–1,Nantes,25.121,Orange Vélodrome,Lionel Jaffredo,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,8,sex,2016-09-30,20:45 (15:45),Rennes,1–0,Guingamp,26.118,Roazhon Park,Nicolas Rainville,Relatório da Partida,
Temporada regular,8,sáb,2016-10-01,17:00 (12:00),Paris S-G,2–0,Bordeaux,44.949,Parc des Princes,Antony Gautier,Relatório da Partida,
Temporada regular,8,sáb,2016-10-01,20:00 (15:00),Lille,1–0,Nancy,25.719,Stade Pierre-Mauroy,Sébastien Desiage,Relatório da Partida,
Temporada regular,8,sáb,2016-10-01,20:00 (15:00),Metz,0–7,Monaco,19.163,Stade Saint-Symphorien,Olivier Thual,Relatório da Partida,
Temporada regular,8,sáb,2016-10-01,20:00 (15:00),Caen,1–0,Toulouse,16.354,Stade Michel d'Ornano,Benoît Bastien,Relatório da Partida,
Temporada regular,8,sáb,2016-10-01,20:00 (15:00),Nantes,1–0,Bastia,20.129,Stade de la Beaujoire - Louis Fonteneau,Bartolomeu Varela,Relatório da Partida,
Temporada regular,8,sáb,2016-10-01,20:00 (15:00),Dijon,3–3,Montpellier,8.428,Stade Gaston Gérard,François Letexier,Relatório da Partida,
Temporada regular,8,dom,2016-10-02,15:00 (10:00),Angers,1–1,Marseille,14.637,Stade Raymond Kopa,Johan Hamel,Relatório da Partida,
Temporada regular,8,dom,2016-10-02,17:00 (12:00),Nice,2–1,Lorient,17.816,Stade de Nice,Ruddy Buquet,Relatório da Partida,
Temporada regular,8,dom,2016-10-02,20:45 (15:45),Lyon,2–0,Saint-Étienne,57.050,Groupama Stadium,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,9,sex,2016-10-14,19:00 (14:00),Toulouse,3–1,Monaco,17.602,Stadium Municipal,Lionel Jaffredo,Relatório da Partida,
Temporada regular,9,sex,2016-10-14,20:45 (15:45),Nice,2–0,Lyon,28.139,Stade de Nice,Ruddy Buquet,Relatório da Partida,
Temporada regular,9,sáb,2016-10-15,17:00 (12:00),Nancy,1–2,Paris S-G,19.524,Stade Marcel Picot,Mikael Lesage,Relatório da Partida,
Temporada regular,9,sáb,2016-10-15,20:00 (15:00),Montpellier,3–2,Caen,14.456,Stade de la Mosson,Saïd Ennjimi,Relatório da Partida,
Temporada regular,9,sáb,2016-10-15,20:00 (15:00),Lorient,1–2,Nantes,12.458,Stade Yves Allainmat - Le Moustoir,Benoît Bastien,Relatório da Partida,
Temporada regular,9,sáb,2016-10-15,20:00 (15:00),Bastia,1–2,Angers,9.303,Stade Armand Césari,Franck Schneider,Relatório da Partida,
Temporada regular,9,sáb,2016-10-15,20:00 (15:00),Guingamp,1–0,Lille,12.636,Stade du Roudourou,Sébastien Moreira,Relatório da Partida,
Temporada regular,9,dom,2016-10-16,15:00 (11:00),Rennes,1–1,Bordeaux,22.962,Roazhon Park,Benoît Millot,Relatório da Partida,
Temporada regular,9,dom,2016-10-16,17:00 (13:00),Saint-Étienne,1–1,Dijon,25.528,Stade Geoffroy-Guichard,Karim Abed,Relatório da Partida,
Temporada regular,9,dom,2016-10-16,20:45 (16:45),Marseille,1–0,Metz,28.588,Orange Vélodrome,Jérôme Miguelgorry,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,10,sex,2016-10-21,20:45 (16:45),Monaco,6–2,Montpellier,7.619,Stade Louis II.,Amaury Delerue,Relatório da Partida,
Temporada regular,10,sáb,2016-10-22,17:00 (13:00),Lyon,1–3,Guingamp,39.184,Groupama Stadium,Antony Gautier,Relatório da Partida,
Temporada regular,10,sáb,2016-10-22,20:00 (16:00),Nantes,1–2,Rennes,29.015,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Relatório da Partida,
Temporada regular,10,sáb,2016-10-22,20:00 (16:00),Bordeaux,1–1,Nancy,20.853,Stade Matmut-Atlantique,Stéphane Lannoy,Relatório da Partida,
Temporada regular,10,sáb,2016-10-22,20:00 (16:00),Angers,0–0,Toulouse,11.777,Stade Raymond Kopa,Bartolomeu Varela,Relatório da Partida,
Temporada regular,10,sáb,2016-10-22,20:00 (16:00),Lille,2–1,Bastia,25.932,Stade Pierre-Mauroy,Ruddy Buquet,Relatório da Partida,
Temporada regular,10,sáb,2016-10-22,20:00 (16:00),Dijon,1–0,Lorient,8.558,Stade Gaston Gérard,Sébastien Desiage,Relatório da Partida,
Temporada regular,10,dom,2016-10-23,15:00 (11:00),Caen,0–2,Saint-Étienne,18.509,Stade Michel d'Ornano,Olivier Thual,Relatório da Partida,
Temporada regular,10,dom,2016-10-23,17:00 (13:00),Metz,2–4,Nice,17.994,Stade Saint-Symphorien,François Letexier,Relatório da Partida,
Temporada regular,10,dom,2016-10-23,20:45 (16:45),Paris S-G,0–0,Marseille,47.929,Parc des Princes,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,11,sex,2016-10-28,20:45 (16:45),Lille,0–1,Paris S-G,37.213,Stade Pierre-Mauroy,Benoît Bastien,Relatório da Partida,
