Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,35,dom,2017-04-30,17:00 (12:00),Dijon,0–0,Bordeaux,12.596,Stade Gaston Gérard,Bartolomeu Varela,Relatório da Partida,
Temporada regular,35,dom,2017-04-30,21:00 (16:00),Nice,3–1,Paris S-G,33.190,Stade de Nice,Ruddy Buquet,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,36,sex,2017-05-05,20:45 (15:45),Saint-Étienne,2–2,Bordeaux,30.606,Stade Geoffroy-Guichard,Franck Schneider,Relatório da Partida,
Temporada regular,36,sáb,2017-05-06,17:00 (12:00),Paris S-G,5–0,Bastia,45.826,Parc des Princes,François Letexier,Relatório da Partida,
Temporada regular,36,sáb,2017-05-06,20:00 (15:00),Lille,0–2,Metz,28.336,Stade Pierre-Mauroy,Olivier Thual,Relatório da Partida,
Temporada regular,36,sáb,2017-05-06,20:00 (15:00),Guingamp,4–0,Dijon,13.055,Stade du Roudourou,Tony Chapron,Relatório da Partida,
Temporada regular,36,sáb,2017-05-06,20:00 (15:00),Toulouse,0–1,Caen,18.474,Stadium Municipal,Karim Abed,Relatório da Partida,
Temporada regular,36,sáb,2017-05-06,20:00 (15:00),Nancy,0–3,Monaco,19.519,Stade Marcel Picot,Ruddy Buquet,Relatório da Partida,
Temporada regular,36,sáb,2017-05-06,20:00 (15:00),Lorient,1–1,Angers,15.563,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Relatório da Partida,
Temporada regular,36,dom,2017-05-07,15:00 (10:00),Rennes,1–0,Montpellier,18.308,Roazhon Park,Sébastien Desiage,Relatório da Partida,
Temporada regular,36,dom,2017-05-07,17:00 (12:00),Lyon,3–2,Nantes,34.473,Groupama Stadium,Mikael Lesage,Relatório da Partida,
Temporada regular,36,dom,2017-05-07,21:00 (16:00),Marseille,2–1,Nice,61.685,Orange Vélodrome,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Bordeaux,1–1,Marseille,41.265,Stade Matmut-Atlantique,Clément Turpin,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Monaco,4–0,Lille,13.152,Stade Louis II.,Benoît Bastien,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Caen,0–1,Rennes,16.273,Stade Michel d'Ornano,Benoît Millot,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Montpellier,1–3,Lyon,13.923,Stade de la Mosson,François Letexier,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Nice,0–2,Angers,32.446,Stade de Nice,Mikael Lesage,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Metz,1–1,Toulouse,16.282,Stade Saint-Symphorien,Stéphane Lannoy,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Bastia,2–0,Lorient,,Stade Armand Césari,Ruddy Buquet,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Nantes,4–1,Guingamp,20.417,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Dijon,2–0,Nancy,13.212,Stade Gaston Gérard,Antony Gautier,Relatório da Partida,
Temporada regular,37,dom,2017-05-14,21:00 (16:00),Saint-Étienne,0–5,Paris S-G,34.352,Stade Geoffroy-Guichard,Amaury Delerue,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,31,qua,2017-05-17,21:00 (16:00),Monaco,2–0,Saint-Étienne,14.299,Stade Louis II.,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Marseille,1–0,Bastia,55.178,Orange Vélodrome,Franck Schneider,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Lorient,1–1,Bordeaux,15.884,Stade Yves Allainmat - Le Moustoir,Antony Gautier,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Rennes,2–3,Monaco,26.565,Roazhon Park,Saïd Ennjimi,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Nancy,3–1,Saint-Étienne,17.054,Stade Marcel Picot,Benoît Millot,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Angers,2–0,Montpellier,11.864,Stade Raymond Kopa,Lionel Jaffredo,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Guingamp,1–0,Metz,16.200,Stade du Roudourou,Ruddy Buquet,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Lyon,3–3,Nice,50.080,Groupama Stadium,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Lille,3–0,Nantes,28.390,Stade Pierre-Mauroy,Sébastien Desiage,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Paris S-G,1–1,Caen,45.516,Parc des Princes,Johan Hamel,Relatório da Partida,
Temporada regular,38,sáb,2017-05-20,21:00 (16:00),Toulouse,0–0,Dijon,19.768,Stadium Municipal,Tony Chapron,Relatório da Partida,
,,,,,,,,,,,,
Eliminatórias 1/2 de Rebaixamento/Promoção da França,,qui,2017-05-25,20:45 (15:45),Troyes,2–1,Lorient,14.081,Stade de l'Aube,,Relatório da Partida,Jogo de ida/volta 1 de 2
Eliminatórias 1/2 de Rebaixamento/Promoção da França,,dom,2017-05-28,21:00 (16:00),Lorient,0–0,Troyes,18.000,Stade Yves Allainmat - Le Moustoir,,Relatório da Partida,Jogo de ida/volta 2 de 2; Troyes venceu
