Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
10,sex,2004-10-15,,Lyon,4–0,Caen,,Stade Municipal de Gerland,Olivier Thual,Relatório da Partida,
10,sáb,2004-10-16,,Ajaccio,2–2,Strasbourg,,Stade François Coty,Hervé Piccirillo,Relatório da Partida,
10,sáb,2004-10-16,,Sochaux,3–0,Rennes,,Stade Bonal,Thierry Auriac,Relatório da Partida,
10,sáb,2004-10-16,,Lille,2–1,Bastia,,Stadium Lille Métropole,Fredy Fautrel,Relatório da Partida,
10,sáb,2004-10-16,,Nice,1–0,Toulouse,,Allianz Riviera,Dominique Fraise,Relatório da Partida,
10,sáb,2004-10-16,,Nantes,1–0,Paris S-G,,Stade de la Beaujoire,Laurent Duhamel,Relatório da Partida,
10,sáb,2004-10-16,,Auxerre,3–0,Lens,,Stade Abbé Deschamps,Gilles Veissière,Relatório da Partida,
10,sáb,2004-10-16,,Bordeaux,2–2,Istres,,Stade Chaban,Bruno Ruffray,Relatório da Partida,
10,sáb,2004-10-16,,Metz,1–1,Monaco,,Stade Saint,Stéphane Lannoy,Relatório da Partida,
10,dom,2004-10-17,,Marseille,1–1,Saint-Étienne,,Orange Vélodrome,Patrick Lhermite,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2004-10-23,,Paris S-G,1–0,Ajaccio,,Parc des Princes,Dominique Fraise,Relatório da Partida,
11,sáb,2004-10-23,,Caen,2–1,Nantes,,Stade Michel d'Ornano,Claude Colombo,Relatório da Partida,
11,sáb,2004-10-23,,Istres,0–0,Lyon,,Stade des Costières,Stéphane Bré,Relatório da Partida,
11,sáb,2004-10-23,,Strasbourg,3–1,Nice,,Stade de la Meinau,Philippe Malige,Relatório da Partida,
11,sáb,2004-10-23,,Saint-Étienne,0–0,Bordeaux,,Stade Geoffroy,Bertrand Layec,Relatório da Partida,
11,sáb,2004-10-23,,Rennes,3–1,Metz,,ROAZHON PARK,Bruno Ruffray,Relatório da Partida,
