Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
10,sáb,2010-10-30,,Manchester Utd,2–0,Tottenham,,,Mark Clattenburg,Relatório da Partida,
10,sáb,2010-10-30,,Arsenal,1–0,West Ham,,,Mike Jones,Relatório da Partida,
10,sáb,2010-10-30,,Wolves,2–1,Manchester City,,,Mike Dean,Relatório da Partida,
10,sáb,2010-10-30,,Fulham,2–0,Wigan Athletic,,,Andre Marriner,Relatório da Partida,
10,sáb,2010-10-30,,Everton,1–0,Stoke City,,,Lee Probert,Relatório da Partida,
10,dom,2010-10-31,,Aston Villa,0–0,Birmingham City,,,Howard Webb,Relatório da Partida,
10,dom,2010-10-31,,Newcastle Utd,5–1,Sunderland,,,Phil Dowd,Relatório da Partida,
10,dom,2010-10-31,,Bolton,0–1,Liverpool,,,Martin Atkinson,Relatório da Partida,
10,seg,2010-11-01,,Blackpool,2–1,West Brom,,,Michael Oliver,Relatório da Partida,
,,,,,,,,,,,
11,sáb,2010-11-06,,Sunderland,2–0,Stoke City,,,Martin Atkinson,Relatório da Partida,
11,sáb,2010-11-06,,Birmingham City,2–2,West Ham,,,Michael Oliver,Relatório da Partida,
11,sáb,2010-11-06,,Manchester Utd,2–1,Wolves,,,Phil Dowd,Relatório da Partida,
11,sáb,2010-11-06,,Bolton,4–2,Tottenham,,,Chris Foy,Relatório da Partida,
11,sáb,2010-11-06,,Fulham,1–1,Aston Villa,,,Peter Walton,Relatório da Partida,
11,sáb,2010-11-06,,Blackburn,2–1,Wigan Athletic,,,Kevin Friend,Relatório da Partida,
11,sáb,2010-11-06,,Blackpool,2–2,Everton,,,Andre Marriner,Relatório da Partida,
11,dom,2010-11-07,,Arsenal,0–1,Newcastle Utd,,,Mike Dean,Relatório da Partida,
11,dom,2010-11-07,,West Brom,0–2,Manchester City,,,Lee Probert,Relatório da Partida,
11,dom,2010-11-07,,Liverpool,2–0,Chelsea,,,Howard Webb,Relatório da Partida,
,,,,,,,,,,,
12,ter,2010-11-09,,Stoke City,3–2,Birmingham City,,,Mark Clattenburg,Relatório da Partida,
12,ter,2010-11-09,,Tottenham,1–1,Sunderland,,,Howard Webb,Relatório da Partida,
12,qua,2010-11-10,,Chelsea,1–0,Fulham,,,Martin Atkinson,Relatório da Partida,
12,qua,2010-11-10,,Manchester City,0–0,Manchester Utd,,,Chris Foy,Relatório da Partida,
12,qua,2010-11-10,,Wolves,0–2,Arsenal,,,Mark Halsey,Relatório da Partida,
12,qua,2010-11-10,,Aston Villa,3–2,Blackpool,,,Anthony Taylor,Relatório da Partida,
12,qua,2010-11-10,,Wigan Athletic,1–1,Liverpool,,,Peter Walton,Relatório da Partida,
12,qua,2010-11-10,,West Ham,2–2,West Brom,,,Mike Dean,Relatório da Partida,
12,qua,2010-11-10,,Everton,1–1,Bolton,,,Phil Dowd,Relatório da Partida,
12,qua,2010-11-10,,Newcastle Utd,1–2,Blackburn,,,Mike Jones,Relatório da Partida,
,,,,,,,,,,,
13,sáb,2010-11-13,,Wigan Athletic,1–0,West Brom,,,Anthony Taylor,Relatório da Partida,
13,sáb,2010-11-13,,Manchester City,0–0,Birmingham City,,,Mike Jones,Relatório da Partida,
13,sáb,2010-11-13,,Newcastle Utd,0–0,Fulham,,,Lee Probert,Relatório da Partida,
13,sáb,2010-11-13,,Wolves,2–3,Bolton,,,Peter Walton,Relatório da Partida,
13,sáb,2010-11-13,,Aston Villa,2–2,Manchester Utd,,,Mike Dean,Relatório da Partida,
13,sáb,2010-11-13,,West Ham,0–0,Blackpool,,,Kevin Friend,Relatório da Partida,
13,sáb,2010-11-13,,Stoke City,2–0,Liverpool,,,Mark Halsey,Relatório da Partida,
13,sáb,2010-11-13,,Tottenham,4–2,Blackburn,,,Andre Marriner,Relatório da Partida,
13,dom,2010-11-14,,Everton,1–2,Arsenal,,,Howard Webb,Relatório da Partida,
13,dom,2010-11-14,,Chelsea,0–3,Sunderland,,,Chris Foy,Relatório da Partida,
,,,,,,,,,,,
14,sáb,2010-11-20,,Blackpool,2–1,Wolves,,,Mark Clattenburg,Relatório da Partida,
14,sáb,2010-11-20,,Manchester Utd,2–0,Wigan Athletic,,,Martin Atkinson,Relatório da Partida,
14,sáb,2010-11-20,,Arsenal,2–3,Tottenham,,,Phil Dowd,Relatório da Partida,
14,sáb,2010-11-20,,Liverpool,3–0,West Ham,,,Lee Probert,Relatório da Partida,
14,sáb,2010-11-20,,Bolton,5–1,Newcastle Utd,,,Howard Webb,Relatório da Partida,
14,sáb,2010-11-20,,West Brom,0–3,Stoke City,,,Chris Foy,Relatório da Partida,
14,sáb,2010-11-20,,Birmingham City,1–0,Chelsea,,,Mark Halsey,Relatório da Partida,
14,dom,2010-11-21,,Fulham,1–4,Manchester City,,,Lee Mason,Relatório da Partida,
