
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
12,sáb,2015-11-07,15:00 (13:00),Norwich City,1–0,Swansea City,27.029,Carrow Road,Mark Clattenburg,Relatório da Partida,
12,sáb,2015-11-07,15:00 (13:00),Manchester Utd,2–0,West Brom,75.410,Old Trafford,Mike Dean,Relatório da Partida,
12,sáb,2015-11-07,17:30 (15:30),Stoke City,1–0,Chelsea,27.550,Bet365 Stadium,Anthony Taylor,Relatório da Partida,
12,dom,2015-11-08,13:30 (11:30),Aston Villa,0–0,Manchester City,36.757,Villa Park,Craig Pawson,Relatório da Partida,
12,dom,2015-11-08,16:00 (14:00),Liverpool,1–2,Crystal Palace,44.115,Anfield,Niel Swarbrick,Relatório da Partida,
12,dom,2015-11-08,16:00 (14:00),Arsenal,1–1,Tottenham,60.060,Emirates Stadium,Martin Atkinson,Relatório da Partida,
,,,,,,,,,,,
13,sáb,2015-11-21,12:45 (10:45),Watford,1–2,Manchester Utd,20.702,Vicarage Road Stadium,Robert Madley,Relatório da Partida,
13,sáb,2015-11-21,15:00 (13:00),Newcastle Utd,0–3,Leicester City,50.151,St. James' Park,Mike Jones,Relatório da Partida,
13,sáb,2015-11-21,15:00 (13:00),Swansea City,2–2,Bournemouth,20.878,Liberty Stadium,Andre Marriner,Relatório da Partida,
13,sáb,2015-11-21,15:00 (13:00),Southampton,0–1,Stoke City,30.039,St. Mary's Stadium,Lee Mason,Relatório da Partida,
13,sáb,2015-11-21,15:00 (13:00),Everton,4–0,Aston Villa,38.424,Goodison Park,Michael Oliver,Relatório da Partida,
13,sáb,2015-11-21,15:00 (13:00),Chelsea,1–0,Norwich City,41.582,Stamford Bridge,Craig Pawson,Relatório da Partida,
13,sáb,2015-11-21,15:00 (13:00),West Brom,2–1,Arsenal,24.343,The Hawthorns,Mark Clattenburg,Relatório da Partida,
13,sáb,2015-11-21,17:30 (15:30),Manchester City,1–4,Liverpool,54.444,Etihad Stadium,Jonathan Moss,Relatório da Partida,
13,dom,2015-11-22,16:00 (14:00),Tottenham,4–1,West Ham,35.968,White Hart Lane,Anthony Taylor,Relatório da Partida,
13,seg,2015-11-23,20:00 (18:00),Crystal Palace,0–1,Sunderland,24.361,Selhurst Park,Martin Atkinson,Relatório da Partida,
,,,,,,,,,,,
14,sáb,2015-11-28,15:00 (13:00),Sunderland,2–0,Stoke City,41.516,Stadium of Light,Mike Dean,Relatório da Partida,
14,sáb,2015-11-28,15:00 (13:00),Bournemouth,3–3,Everton,11.228,Vitality Stadium,Kevin Friend,Relatório da Partida,
14,sáb,2015-11-28,15:00 (13:00),Crystal Palace,5–1,Newcastle Utd,24.833,Selhurst Park,Stuart Attwell,Relatório da Partida,
14,sáb,2015-11-28,15:00 (13:00),Manchester City,3–1,Southampton,54.102,Etihad Stadium,Roger East,Relatório da Partida,
14,sáb,2015-11-28,15:00 (13:00),Aston Villa,2–3,Watford,35.057,Villa Park,Lee Mason,Relatório da Partida,
14,sáb,2015-11-28,17:30 (15:30),Leicester City,1–1,Manchester Utd,32.115,King Power Stadium,Craig Pawson,Relatório da Partida,
14,dom,2015-11-29,12:00 (10:00),Tottenham,0–0,Chelsea,35.639,White Hart Lane,Michael Oliver,Relatório da Partida,
14,dom,2015-11-29,14:05 (12:05),West Ham,1–1,West Brom,34.914,Boleyn Ground,Martin Atkinson,Relatório da Partida,
14,dom,2015-11-29,16:15 (14:15),Liverpool,1–0,Swansea City,43.905,Anfield,Anthony Taylor,Relatório da Partida,
14,dom,2015-11-29,16:15 (14:15),Norwich City,1–1,Arsenal,27.091,Carrow Road,Jonathan Moss,Relatório da Partida,
,,,,,,,,,,,
15,sáb,2015-12-05,12:45 (10:45),Stoke City,2–0,Manchester City,27.264,Bet365 Stadium,Martin Atkinson,Relatório da Partida,
15,sáb,2015-12-05,15:00 (13:00),Southampton,1–1,Aston Villa,29.645,St. Mary's Stadium,Anthony Taylor,Relatório da Partida,
15,sáb,2015-12-05,15:00 (13:00),Arsenal,3–1,Sunderland,59.937,Emirates Stadium,Robert Madley,Relatório da Partida,
15,sáb,2015-12-05,15:00 (13:00),West Brom,1–1,Tottenham,23.602,The Hawthorns,Jonathan Moss,Relatório da Partida,
15,sáb,2015-12-05,15:00 (13:00),Manchester Utd,0–0,West Ham,75.350,Old Trafford,Mark Clattenburg,Relatório da Partida,
15,sáb,2015-12-05,15:00 (13:00),Swansea City,0–3,Leicester City,20.836,Liberty Stadium,Michael Oliver,Relatório da Partida,
15,sáb,2015-12-05,15:00 (13:00),Watford,2–0,Norwich City,20.422,Vicarage Road Stadium,Mike Dean,Relatório da Partida,
15,sáb,2015-12-05,17:30 (15:30),Chelsea,0–1,Bournemouth,41.631,Stamford Bridge,Mike Jones,Relatório da Partida,
15,dom,2015-12-06,16:00 (14:00),Newcastle Utd,2–0,Liverpool,51.273,St. James' Park,Andre Marriner,Relatório da Partida,
15,seg,2015-12-07,20:00 (18:00),Everton,1–1,Crystal Palace,35.736,Goodison Park,Craig Pawson,Relatório da Partida,
,,,,,,,,,,,
16,sáb,2015-12-12,12:45 (10:45),Norwich City,1–1,Everton,27.027,Carrow Road,Martin Atkinson,Relatório da Partida,
16,sáb,2015-12-12,15:00 (13:00),West Ham,0–0,Stoke City,34.857,Boleyn Ground,Andre Marriner,Relatório da Partida,
16,sáb,2015-12-12,15:00 (13:00),Crystal Palace,1–0,Southampton,24.914,Selhurst Park,Mike Dean,Relatório da Partida,
16,sáb,2015-12-12,15:00 (13:00),Sunderland,0–1,Watford,43.989,Stadium of Light,Graham Scott,Relatório da Partida,
16,sáb,2015-12-12,15:00 (13:00),Manchester City,2–1,Swansea City,53.052,Etihad Stadium,Robert Madley,Relatório da Partida,
16,sáb,2015-12-12,17:30 (15:30),Bournemouth,2–1,Manchester Utd,11.334,Vitality Stadium,Anthony Taylor,Relatório da Partida,
16,dom,2015-12-13,13:30 (11:30),Aston Villa,0–2,Arsenal,33.285,Villa Park,Kevin Friend,Relatório da Partida,
16,dom,2015-12-13,16:00 (14:00),Liverpool,2–2,West Brom,44.147,Anfield,Craig Pawson,Relatório da Partida,
16,dom,2015-12-13,16:00 (14:00),Tottenham,1–2,Newcastle Utd,35.768,White Hart Lane,Roger East,Relatório da Partida,
16,seg,2015-12-14,20:00 (18:00),Leicester City,2–1,Chelsea,32.054,King Power Stadium,Mark Clattenburg,Relatório da Partida,
,,,,,,,,,,,
17,sáb,2015-12-19,15:00 (13:00),Stoke City,1–2,Crystal Palace,27.500,Bet365 Stadium,Robert Madley,Relatório da Partida,
17,sáb,2015-12-19,15:00 (13:00),West Brom,1–2,Bournemouth,26.127,The Hawthorns,Mike Dean,Relatório da Partida,
