Name;Nationality;Pos.;Team;Age;Year;MP;MS;Min.;90s;Goals;Assis.;G-PB;PB;PT;Ycard;Rcard
Mohamed Salah;eg EGY;AT;Liverpool;30-203;1992;17;17;1506;16.7;7;4;7;0;0;0;0
William Saliba;fr FRA;ZG;Arsenal;21-286;2001;17;17;1515;16.8;2;1;2;0;0;4;0
Mohammed Salisu;gh GHA;ZG;Southampton;23-262;1999;16;16;1439;16.0;0;1;0;0;0;4;0
Albert Sambi Lokonga;be BEL;LT;Arsenal;23-074;1999;6;2;198;2.2;0;0;0;0;0;0;0
Davinson SÃ¡nchez;co COL;ZG;Tottenham;26-206;1996;11;6;555;6.2;0;0;0;0;0;1;0
Robert SÃ¡nchez;es ESP;G;Brighton;25-047;1997;17;17;1530;17.0;0;0;0;0;0;1;0
Jadon Sancho;eng ENG;AT;Manchester Utd;22-285;2000;10;10;714;7.9;2;1;2;0;0;0;0
Morgan Sanson;fr FRA;LT;Aston Villa;28-139;1994;1;0;1;0.0;0;0;0;0;0;0;0
Jeremy Sarmiento;ec ECU;LT;Brighton;20-202;2002;5;1;123;1.4;0;0;0;0;0;1;0
Gianluca Scamacca;it ITA;AT;West Ham;24-003;1999;14;10;845;9.4;2;0;2;0;0;3;0
Fabian SchÃ¤r;ch SUI;ZG;Newcastle Utd;31-015;1991;17;17;1513;16.8;1;0;1;0;0;4;0
Jeffrey Schlupp;gh GHA;LT;Crystal Palace;30-012;1992;16;14;1266;14.1;0;0;0;0;0;3;0
NÃ©lson Semedo;pt POR;ZG;Wolves;29-049;1993;15;10;829;9.2;0;1;0;0;0;4;1
Marcos Senesi;ar ARG;ZG;Bournemouth;25-239;1997;15;14;1209;13.4;0;0;0;0;0;2;0
Ryan Sessegnon;eng ENG;ZG;Tottenham;22-231;2000;13;8;690;7.7;2;0;2;0;0;3;0
Luke Shaw;eng ENG;ZG;Manchester Utd;27-176;1995;13;12;1053;11.7;1;1;1;0;0;3;0
Jonjo Shelvey;eng ENG;LT;Newcastle Utd;30-311;1992;3;0;37;0.4;0;0;0;0;0;0;0
Bernardo Silva;pt POR;LT,AT;Manchester City;28-147;1994;15;13;1154;12.8;2;5;2;0;0;2;0
Thiago Silva;br BRA;ZG;Chelsea;38-104;1984;14;13;1254;13.9;0;2;0;0;0;1;0
Ellis Simms;eng ENG;AT;Everton;21-364;2001;1;0;8;0.1;0;0;0;0;0;0;0
Luis Sinisterra;co COL;AT;Leeds United;23-201;1999;9;6;453;5.0;2;0;2;0;0;3;1
Oliver Skipp;eng ENG;LT;Tottenham;22-110;2000;7;2;133;1.5;0;0;0;0;0;1;0
Adam Smith;eng ENG;ZG;Bournemouth;31-250;1991;18;18;1547;17.2;0;1;0;0;0;5;0
Emile Smith Rowe;eng ENG;LT,AT;Arsenal;22-160;2000;4;0;51;0.6;0;0;0;0;0;0;0
CÃ©dric Soares;pt POR;ZG;Arsenal;31-126;1991;2;0;29;0.3;0;0;0;0;0;0;0
Dominic Solanke;eng ENG;AT,LT;Bournemouth;25-112;1997;16;15;1341;14.9;3;3;3;0;0;1;0
Manor Solomon;il ISR;AT;Fulham;23-164;1999;1;0;25;0.3;0;0;0;0;0;0;0
TomÃ¡Å¡ SouÄek;cz CZE;LT;West Ham;27-311;1995;17;16;1393;15.5;1;1;1;0;0;1;0
Boubakary SoumarÃ©;fr FRA;LT;Leicester City;23-311;1999;14;12;836;9.3;0;0;0;0;0;4;0
Ã‡aÄŸlar SÃ¶yÃ¼ncÃ¼;tr TUR;ZG;Leicester City;26-226;1996;1;1;71;0.8;0;0;0;0;0;0;0
Djed Spence;eng ENG;AT,ZG;Tottenham;22-148;2000;4;0;7;0.1;0;0;0;0;0;0;0
Jack Stacey;eng ENG;ZG;Bournemouth;26-273;1996;8;2;207;2.3;0;0;0;0;0;2;0
Junior Stanislas;eng ENG;LT;Bournemouth;33-039;1989;4;0;61;0.7;0;0;0;0;0;0;0
Jay Stansfield;eng ENG;AT;Fulham;20-041;2002;3;1;87;1.0;0;0;0;0;0;0;0
